Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Guadalajara (Mexico) - Qualification,hard,header
CHALLENGER WOMEN - SINGLES :  Saint Malo (France),clay,header
02.05. 16:00,Arango E.,0,3,4,,,,1,6,65%,57% (17/30),38% (6/16),20% (1/5),22% (6/27),54% (15/28),67% (2/3),11,50% (23/46),38% (21/55),44% (44/101),3,56% (5/9),20% (2/10),37% (7/19),"['2', '3']","['2', '0']",[],[],[],1.62
02.05. 16:00,Ponchet J.,2,6,6,,,,2,3,49%,78% (21/27),46% (13/28),33% (1/3),43% (13/30),63% (10/16),80% (4/5),12,62% (34/55),50% (23/46),56% (57/101),5,80% (8/10),44% (4/9),63% (12/19),"['3', '1', '5', '3']","['2', '3', '4', '3']",[],[],[],2.33
30.04. 21:00,Arango E.,2,6,6,,,,0,1,72%,62% (26/42),50% (8/16),67% (4/6),53% (20/38),53% (19/36),36% (5/14),5,59% (34/58),53% (39/74),55% (73/132),5,78% (7/9),56% (5/9),67% (12/18),"['1', '0', '2', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.99
30.04. 21:00,Sharma A.,0,4,2,,,,1,5,51%,47% (18/38),47% (17/36),64% (9/14),38% (16/42),50% (8/16),33% (2/6),6,47% (35/74),41% (24/58),45% (59/132),2,44% (4/9),22% (2/9),33% (6/18),"['1', '1']","['1', '1']",[],[],[],1.84
WTA - SINGLES :  Madrid (Spain),clay,header
25.04. 16:20,Arango E.,1,6,5,4,,,1,9,77%,50% (42/84),48% (12/25),59% (10/17),55% (32/58),54% (20/37),67% (8/12),10,50% (54/109),55% (52/95),52% (106/204),6,50% (7/14),57% (8/14),54% (15/28),"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '5']","['1', '0', '2', '1', '4', '5']",[],[],2.68
25.04. 16:20,Yastremska D.,2,0,7,6,,,2,5,61%,45% (26/58),46% (17/37),33% (4/12),50% (42/84),52% (13/25),41% (7/17),6,45% (43/95),50% (55/109),48% (98/204),4,43% (6/14),50% (7/14),46% (13/28),[],"['2', '2', '4', '2', '7', '5']","['1', '1', '2', '2', '4', '2', '6', '4']",[],[],1.48
24.04. 18:15,Arango E.,2,1,6,7^7,,,0,2,76%,59% (42/71),26% (6/23),27% (3/11),47% (23/49),56% (28/50),50% (7/14),5,51% (48/94),52% (51/99),51% (99/193),3,43% (6/14),47% (7/15),45% (13/29),"['1', '2']","['2', '0', '6', '4']","['1', '1', '3', '1', '5', '5', '6', '6']",[],[],4.09
24.04. 18:15,Anisimova A.,1,6,4,6^2,,,1,4,49%,53% (26/49),44% (22/50),50% (7/14),41% (29/71),74% (17/23),73% (8/11),7,48% (48/99),49% (46/94),49% (94/193),4,53% (8/15),57% (8/14),55% (16/29),"['2', '0', '3', '1', '5', '1']","['1', '2']","['1', '0', '2', '3', '4', '3', '6', '5']",[],[],1.25
