Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.05.,Hemery C.,2,,,,,,2,1,67%,62% (31/50),60% (15/25),82% (9/11),37% (19/51),57% (25/44),31% (4/13),18,41,62% (8/13),61% (46/75),46% (44/95),53% (90/170),7,0,82% (9/11),36% (4/11),59% (13/22),"['2', '2', '4', '2', '6', '4']","['7', '5']",[],[],[],2.34
06.05.,Sachko V.,0,,,,,,0,6,54%,63% (32/51),43% (19/44),69% (9/13),38% (19/50),40% (10/25),18% (2/11),23,54,67% (4/6),54% (51/95),39% (29/75),47% (80/170),3,1,64% (7/11),18% (2/11),41% (9/22),"['1', '0', '4', '5']",[],[],[],[],1.55
29.04.,Buse I.,2,,,,,,6,0,75%,70% (32/46),53% (8/15),67% (4/6),42% (20/48),62% (8/13),63% (5/8),66% (40/61),46% (28/61),56% (68/122),8,0,80% (8/10),45% (5/11),62% (13/21),"['1', '0', '4', '3', '6', '3']","['4', '4', '7', '5']",[],[],[],1.68
29.04.,Hemery C.,0,,,,,,0,1,79%,58% (28/48),38% (5/13),38% (3/8),30% (14/46),47% (7/15),33% (2/6),54% (33/61),34% (21/61),44% (54/122),2,0,55% (6/11),20% (2/10),38% (8/21),"['3', '3']","['3', '2']",[],[],[],2.11
28.04.,Hemery C.,2,,,,,,4,4,65%,79% (31/39),62% (13/21),60% (3/5),40% (18/45),50% (14/28),50% (3/6),73% (44/60),44% (32/73),57% (76/133),6,0,82% (9/11),30% (3/10),57% (12/21),"['1', '2']","['2', '0', '3', '1']",[],[],[],1.17
28.04.,Compagnucci T.,0,,,,,,5,3,62%,60% (27/45),50% (14/28),50% (3/6),21% (8/39),38% (8/21),40% (2/5),56% (41/73),27% (16/60),43% (57/133),4,0,70% (7/10),18% (2/11),43% (9/21),"['2', '0']","['1', '2']",[],[],[],4.61
10.04.,Carreno-Busta P.,2,,,,,,6,2,65%,73% (53/73),48% (19/40),44% (4/9),36% (31/86),55% (18/33),50% (5/10),64% (72/113),41% (49/119),52% (121/232),6,1,71% (12/17),29% (5/17),50% (17/34),"['1', '0']","['2', '3']","['2', '1', '4', '1', '5', '4']",[],[],1.24
10.04.,Hemery C.,1,,,,,,9,4,72%,64% (55/86),45% (15/33),50% (5/10),27% (20/73),53% (21/40),56% (5/9),59% (70/119),36% (41/113),48% (111/232),4,3,71% (12/17),29% (5/17),50% (17/34),[],"['2', '0', '7', '5']","['2', '4', '4', '4', '5', '5']",[],[],4.06
08.04.,Hemery C.,2,,,,,,4,5,64%,85% (40/47),46% (12/26),0% (0/2),31% (20/65),50% (10/20),33% (2/6),71% (52/73),35% (30/85),52% (82/158),5,0,86% (12/14),15% (2/13),52% (14/27),"['3', '1']",[],"['3', '2']",[],[],1.77
08.04.,Zapata Miralles B.,1,,,,,,1,1,76%,69% (45/65),50% (10/20),67% (4/6),15% (7/47),54% (14/26),100% (2/2),65% (55/85),29% (21/73),48% (76/158),5,2,85% (11/13),14% (2/14),48% (13/27),[],"['2', '0', '6', '2']",[],[],[],1.96
