Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W50 Arequipa (Peru),clay,header
ITF WOMEN - SINGLES :  W15 Casablanca 2 (Morocco),clay,header
ITF WOMEN - SINGLES :  W15 Casablanca (Morocco),clay,header
ITF WOMEN - SINGLES :  W25 Perigueux (France),clay,header
GIRLS - SINGLES :  French Open (France),clay,header
06.06.2023,Rakotomanga Rajaonah T.,0,4,6^2,,,,"['1', '3']","['4', '2']",[],[],[],0
06.06.2023,Oktiabreva A.,2,6,7^7,,,,"['1', '0', '3', '0']","['4', '5']",[],[],[],0
04.06.2023,Rakotomanga Rajaonah T.,2,6,3,6,,,"['3', '1', '5', '1', '6', '2']",[],"['1', '0', '3', '0', '5', '0']",[],[],0
04.06.2023,Vargova N.,1,2,6,4,,,"['2', '5']","['1', '0', '6', '3']","['1', '5', '3', '5']",[],[],0
ITF WOMEN - SINGLES :  W60 Saint-Gaudens (France),clay,header
17.05.2023,Rakotomanga Rajaonah T.,1,3,7,4,,,"['2', '3']","['3', '3', '5', '3', '7', '5']","['1', '1', '2', '2', '3', '3']",[],[],4.42
17.05.2023,Robbe A.,2,6,5,6,,,"['3', '1', '4', '2']","['1', '0', '4', '5']","['1', '0', '2', '1', '3', '2', '5', '4']",[],[],1.18
ITF WOMEN - SINGLES :  W15 Monastir 4 (Tunisia),hard,header
ITF WOMEN - SINGLES :  W15 Monastir 3 (Tunisia),hard,header
15.02.2023,Rakotomanga Rajaonah T.,0,0,4,,,,[],[],[],[],[],4.02
15.02.2023,Radovanovic N.,2,6,6,,,,[],[],[],[],[],1.21
ITF WOMEN - SINGLES :  W60 Andrezieux-Boutheon (France),hard,header
25.01.2023,Rakotomanga Rajaonah T.,0,2,4,,,,[],[],[],[],[],11.00
25.01.2023,Waltert S.,2,6,6,,,,"['2', '1', '5', '2']","['1', '0']",[],[],[],1.02
ITF WOMEN - SINGLES :  W15 Valencia 2 (Spain),clay,header
ITF WOMEN - SINGLES :  W15 Valencia (Spain),clay,header
ITF WOMEN - SINGLES :  W15 Dijon (France),clay,header
ITF WOMEN - SINGLES :  W25 Saint-Palais-sur-Mer (France),clay,header
ITF WOMEN - SINGLES :  W25 Perigueux (France),clay,header
GIRLS - SINGLES :  French Open (France),clay,header
30.05.2022,Rakotomanga Rajaonah T.,0,2,2,,,,"['2', '5']","['1', '0']",[],[],[],0
30.05.2022,Bejlek S.,2,6,6,,,,"['3', '1', '5', '1', '6', '2']","['1', '1', '3', '1', '6', '2']",[],[],[],0
29.05.2022,Rakotomanga Rajaonah T.,2,3,6,7^10,,,"['3', '3']","['1', '0', '2', '1', '3', '2', '5', '2', '6', '3']","['2', '4', '4', '4', '6', '6']",[],[],0
29.05.2022,Blokhina A.,1,6,3,6^5,,,"['2', '1', '4', '3', '6', '3']","['1', '1', '2', '2', '3', '5']","['1', '0', '4', '1', '6', '5']",[],[],0
