Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W35 Collonge-Bellerive (Switzerland),clay,header
30.08.2023,Smith T. N.,1,7,0,,,,"['2', '0', '4', '4', '7', '5']",[],[],[],[],0
30.08.2023,Parrizas-Diaz N.,0,5,0,,,,"['1', '2', '3', '2']",[],[],[],[],0
ITF WOMEN - SINGLES :  W25 Verbier (Switzerland),clay,header
ITF WOMEN - SINGLES :  W25 Bistrita (Romania),clay,header
ITF WOMEN - SINGLES :  W25 Horb (Germany),clay,header
ITF WOMEN - SINGLES :  W60 Olomouc (Czech Republic),clay,header
19.07.2023,Smith T. N.,1,6,6^3,2,,,"['2', '0', '3', '1', '6', '2']","['1', '1', '2', '2', '5', '5']","['2', '5']",[],[],4.28
19.07.2023,Gjorcheska L.,2,2,7^7,6,,,"['1', '2']","['1', '0', '2', '1', '5', '4']","['2', '0', '5', '1', '6', '2']",[],[],1.21
17.07.2023,Smith T. N.,2,6,0,6,,,"['1', '0', '3', '0']",[],"['3', '2', '5', '2']",[],[],1.65
17.07.2023,Herazo Gonzalez M.,1,2,6,2,,,[],"['2', '0', '4', '0', '6', '0']",[],[],[],2.11
ITF WOMEN - SINGLES :  W25 Klosters (Switzerland),clay,header
ITF WOMEN - SINGLES :  W60 Rome (Italy),clay,header
16.06.2023,Smith T. N.,0,2,1,,,,"['1', '3']",[],[],[],[],1.72
16.06.2023,Pedone G.,2,6,6,,,,"['1', '0', '3', '0', '5', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],2.01
15.06.2023,Smith T. N.,2,6,6,,,,"['3', '3', '5', '3']","['1', '0', '3', '0', '4', '1', '5', '2', '6', '3']",[],[],[],2.91
15.06.2023,Terziyska J.,0,3,3,,,,"['2', '1']","['1', '3', '2', '4', '3', '5']",[],[],[],1.37
ITF WOMEN - SINGLES :  W60 Saint-Gaudens (France),clay,header
17.05.2023,Smith T. N.,0,3,1,,,,"['1', '1']",[],[],[],[],1.82
17.05.2023,Nguyen Tan L.,2,6,6,,,,"['1', '0', '4', '3', '6', '3']","['2', '0', '5', '1']",[],[],[],1.89
ITF WOMEN - SINGLES :  W25 Platja D'Aro (Spain),clay,header
ITF WOMEN - SINGLES :  W60 Bellinzona (Switzerland),clay,header
19.04.2023,Smith T. N.,0,5,0,,,,"['2', '0']",[],[],[],[],5.15
19.04.2023,Serban R.,2,7,6,,,,"['2', '3', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.14
18.04.2023,Smith T. N.,2,6,6,,,,"['3', '1', '4', '2', '5', '3']","['1', '0', '3', '0', '5', '0']",[],[],[],1.67
18.04.2023,Gavrila O.,0,3,2,,,,"['2', '3', '3', '4']","['1', '5']",[],[],[],2.10
ITF WOMEN - SINGLES :  W40 Split (Croatia),clay,header
ITF WOMEN - SINGLES :  W15 Le Havre (France),clay,header
