Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Sabadell 2 (Spain),clay,header
28.09. 15:10,Mager G.,0,6^6,,,,,"['2', '1']",[],[],[],[],1.68
06.04. 23:15,Couacaud E.,2,6,6,,,,4,1,54%,81% (21/26),73% (16/22),100% (1/1),32% (11/34),64% (14/22),50% (3/6),9,77% (37/48),45% (25/56),60% (62/104),4,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '3', '0']","['1', '0']",[],[],[],2.17
05.04. 23:40,Mager G.,2,7^7,6,,,,7,3,66%,78% (29/37),58% (11/19),67% (2/3),42% (22/53),62% (13/21),33% (4/12),10,71% (40/56),47% (35/74),58% (75/130),6,89% (8/9),40% (4/10),63% (12/19),"['6', '6']","['2', '1', '4', '1', '6', '1']",[],[],[],1.28
05.04. 23:40,Cukierman D.,0,6^2,1,,,,5,2,72%,58% (31/53),38% (8/21),67% (8/12),22% (8/37),42% (8/19),33% (1/3),5,53% (39/74),29% (16/56),42% (55/130),2,60% (6/10),11% (1/9),37% (7/19),"['6', '5']",[],[],[],[],3.43
04.04. 03:35,Pucinelli de Almeida M.,1,6,1,,,,5,2,58%,73% (19/26),58% (11/19),0% (0/2),19% (4/21),45% (10/22),50% (1/2),9,67% (30/45),33% (14/43),50% (44/88),3,75% (6/8),13% (1/8),44% (7/16),"['5', '4']",[],[],[],[],2.09
04.04. 03:35,Mager G.,0,4,5,,,,1,2,49%,81% (17/21),55% (12/22),50% (1/2),27% (7/26),42% (8/19),100% (2/2),6,67% (29/43),33% (15/45),50% (44/88),4,88% (7/8),25% (2/8),56% (9/16),[],"['3', '1', '5', '1']",[],[],[],1.70
02.04. 00:55,Mager G.,2,6,6,,,,12,1,70%,81% (26/32),71% (10/14),0% (0/0),50% (14/28),44% (8/18),100% (3/3),11,78% (36/46),48% (22/46),63% (58/92),3,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['2', '1', '5', '2']",[],[],[],1.29
02.04. 00:55,Bueno G.,0,3,2,,,,1,1,61%,50% (14/28),56% (10/18),0% (0/3),19% (6/32),29% (4/14),0% (0/0),5,52% (24/46),22% (10/46),37% (34/92),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.43
CHALLENGER MEN - SINGLES :  Sao Leopoldo (Brazil),clay,header
27.03. 19:35,Mager G.,0,6^5,2,,,,5,0,66%,62% (28/45),57% (13/23),57% (4/7),24% (12/49),56% (9/16),25% (1/4),6,60% (41/68),32% (21/65),47% (62/133),3,70% (7/10),10% (1/10),40% (8/20),"['3', '2']",[],[],[],[],1.32
27.03. 19:35,Oliveira G.,2,7^7,6,,,,8,3,75%,76% (37/49),44% (7/16),75% (3/4),38% (17/45),43% (10/23),43% (3/7),5,68% (44/65),40% (27/68),53% (71/133),3,90% (9/10),30% (3/10),60% (12/20),"['5', '5']","['1', '0', '5', '2']",[],[],[],3.24
26.03. 19:35,Mager G.,2,3,6,7^7,,,6,3,52%,75% (39/52),54% (26/48),57% (4/7),36% (20/55),37% (14/38),43% (3/7),7,65% (65/100),37% (34/93),51% (99/193),3,80% (12/15),20% (3/15),50% (15/30),[],"['4', '2', '5', '3']","['4', '3']",[],[],1.17
26.03. 19:35,Dutra Da Silva D.,1,6,3,6^3,,,14,3,59%,64% (35/55),63% (24/38),57% (4/7),25% (13/52),46% (22/48),43% (3/7),6,63% (59/93),35% (35/100),49% (94/193),3,80% (12/15),20% (3/15),50% (15/30),"['2', '0']","['3', '4']","['5', '5']",[],[],4.74
CHALLENGER MEN - SINGLES :  Asuncion (Paraguay),clay,header
23.03. 03:10,Mager G.,1,6,3,4,,,5,4,53%,72% (33/46),50% (20/40),70% (7/10),31% (22/70),46% (16/35),22% (2/9),7,62% (53/86),36% (38/105),48% (91/191),3,79% (11/14),13% (2/15),45% (13/29),"['2', '1']","['1', '4']",[],[],[],1.66
23.03. 03:10,Burruchaga R. A.,2,4,6,6,,,2,7,67%,69% (48/70),54% (19/35),78% (7/9),28% (13/46),50% (20/40),30% (3/10),6,64% (67/105),38% (33/86),52% (100/191),4,87% (13/15),21% (3/14),55% (16/29),[],"['2', '0', '4', '0']","['4', '3']",[],[],2.14
21.03. 04:45,Mager G.,2,6,6,,,,7,1,70%,87% (27/31),46% (6/13),0% (0/0),41% (18/44),63% (15/24),40% (4/10),7,75% (33/44),49% (33/68),59% (66/112),4,100% (8/8),44% (4/9),71% (12/17),"['2', '1', '5', '2']","['4', '3', '6', '3']",[],[],[],1.20
21.03. 04:45,Rodriguez L. J.,0,2,3,,,,3,2,65%,59% (26/44),38% (9/24),60% (6/10),13% (4/31),54% (7/13),0% (0/0),4,51% (35/68),25% (11/44),41% (46/112),1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],4.26
20.03. 00:45,Mager G.,2,6,6,,,,6,2,44%,90% (18/20),60% (15/25),0% (0/0),44% (20/45),61% (14/23),29% (4/14),6,73% (33/45),50% (34/68),59% (67/113),7,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '6', '3']","['2', '0', '4', '0']",[],[],[],1.28
20.03. 00:45,Sekulic P.,0,3,1,,,,2,4,66%,56% (25/45),39% (9/23),71% (10/14),10% (2/20),40% (10/25),0% (0/0),4,50% (34/68),27% (12/45),41% (46/113),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.50
CHALLENGER MEN - SINGLES :  Santiago (Chile),clay,header
16.03. 05:20,Mager G.,0,2,6^5,,,,6,2,58%,60% (24/40),45% (13/29),57% (4/7),26% (12/47),53% (10/19),17% (1/6),6,54% (37/69),33% (22/66),44% (59/135),2,70% (7/10),10% (1/10),40% (8/20),"['1', '2']",[],[],[],[],1.58
16.03. 05:20,Heide G.,2,6,7^7,,,,2,4,71%,74% (35/47),47% (9/19),83% (5/6),40% (16/40),55% (16/29),43% (3/7),8,67% (44/66),46% (32/69),56% (76/135),5,90% (9/10),30% (3/10),60% (12/20),"['2', '0', '4', '2', '6', '2']",[],[],[],[],2.28
14.03. 19:40,Mager G.,2,5,6,6,,,12,1,64%,85% (45/53),47% (14/30),75% (3/4),44% (21/48),31% (11/36),67% (4/6),7,71% (59/83),38% (32/84),54% (91/167),5,93% (13/14),31% (4/13),63% (17/27),[],"['2', '0', '4', '0']","['3', '2', '5', '2']",[],[],1.25
14.03. 19:40,Aboian V.,1,7,1,2,,,2,0,57%,56% (27/48),69% (25/36),33% (2/6),15% (8/53),53% (16/30),25% (1/4),7,62% (52/84),29% (24/83),46% (76/167),3,69% (9/13),7% (1/14),37% (10/27),"['6', '5']",[],[],[],[],3.76
12.03. 19:10,Mager G.,2,3,6,6,,,6,2,56%,64% (28/44),59% (20/34),57% (4/7),42% (26/62),50% (22/44),31% (5/16),8,62% (48/78),45% (48/106),52% (96/184),5,77% (10/13),36% (5/14),56% (15/27),"['1', '2']","['2', '2', '4', '2']","['3', '2', '6', '3']",[],[],2.04
12.03. 19:10,Burruchaga R. A.,1,6,3,3,,,0,14,58%,58% (36/62),50% (22/44),69% (11/16),36% (16/44),41% (14/34),43% (3/7),6,55% (58/106),38% (30/78),48% (88/184),3,64% (9/14),23% (3/13),44% (12/27),"['2', '0', '4', '2']","['1', '0']",[],[],[],1.72
CHALLENGER MEN - SINGLES :  Santa Cruz (Bolivia),clay,header
08.03. 02:10,Mager G.,0,6^10,1,,,,3,7,56%,68% (28/41),44% (14/32),50% (4/8),29% (12/42),48% (10/21),67% (2/3),7,58% (42/73),35% (22/63),47% (64/136),1,56% (5/9),20% (2/10),37% (7/19),"['5', '5', '6', '6']",[],[],[],[],2.08
08.03. 02:10,Burruchaga R. A.,2,7^12,6,,,,6,3,67%,71% (30/42),52% (11/21),33% (1/3),32% (13/41),56% (18/32),50% (4/8),7,65% (41/63),42% (31/73),53% (72/136),4,80% (8/10),44% (4/9),63% (12/19),"['5', '4', '6', '5']","['2', '0', '5', '1']",[],[],[],1.71
06.03. 04:05,Mager G.,2,6,6,,,,5,4,43%,86% (18/21),50% (14/28),0% (0/0),54% (14/26),91% (10/11),83% (5/6),6,65% (32/49),65% (24/37),65% (56/86),7,100% (7/7),71% (5/7),86% (12/14),"['2', '0', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.43
06.03. 04:05,Bueno G.,0,1,1,,,,0,1,70%,46% (12/26),9% (1/11),17% (1/6),14% (3/21),50% (14/28),0% (0/0),3,35% (13/37),35% (17/49),35% (30/86),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],2.73
CHALLENGER MEN - SINGLES :  Piracicaba (Brazil),clay,header
02.02. 19:40,Mager G.,1,0,6,3,,,1,10,43%,66% (23/35),37% (17/46),30% (3/10),32% (24/74),72% (13/18),21% (3/14),6,49% (40/81),40% (37/92),45% (77/173),3,46% (6/13),25% (3/12),36% (9/25),[],"['2', '2', '3', '3', '6', '4']",[],[],[],2.15
02.02. 19:40,Coria F.,2,6,4,6,,,1,3,80%,68% (50/74),28% (5/18),79% (11/14),34% (12/35),63% (29/46),70% (7/10),7,60% (55/92),51% (41/81),55% (96/173),8,75% (9/12),54% (7/13),64% (16/25),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '2']","['2', '1', '6', '3']",[],[],1.65
01.02. 20:00,Mager G.,2,2,6,7^7,,,6,4,59%,74% (35/47),39% (13/33),20% (1/5),33% (22/66),62% (13/21),40% (4/10),5,60% (48/80),40% (35/87),50% (83/167),8,71% (10/14),31% (4/13),52% (14/27),[],"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],1.34
