Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Cordenons (Italy),clay,header
26.02. 19:30,Bonadio R.,0,6^5,6^5,,,,4,1,62%,73% (36/49),70% (21/30),75% (3/4),10% (5/50),57% (17/30),33% (1/3),6,72% (57/79),28% (22/80),50% (79/159),2,92% (11/12),8% (1/12),50% (12/24),"['2', '1']",[],[],[],[],3.58
26.02. 19:30,Damm M.,2,7^7,7^7,,,,15,6,63%,90% (45/50),43% (13/30),67% (2/3),27% (13/49),30% (9/30),25% (1/4),6,73% (58/80),28% (22/79),50% (80/159),2,92% (11/12),8% (1/12),50% (12/24),"['2', '2']",[],[],[],[],1.27
CHALLENGER MEN - SINGLES :  Tenerife 2 (Spain),hard,header
19.02. 21:30,Bonadio R.,1,1,6,2,,,6,2,64%,62% (36/58),48% (16/33),71% (10/14),28% (11/40),34% (11/32),33% (1/3),6,57% (52/91),31% (22/72),45% (74/163),3,67% (8/12),8% (1/12),38% (9/24),[],"['4', '2']",[],[],[],3.13
19.02. 21:30,Travaglia S.,2,6,3,6,,,3,2,56%,73% (29/40),66% (21/32),67% (2/3),38% (22/58),52% (17/33),29% (4/14),10,69% (50/72),43% (39/91),55% (89/163),5,92% (11/12),33% (4/12),63% (15/24),"['2', '0', '4', '0']",[],"['4', '2', '6', '2']",[],[],1.34
ATP - SINGLES :  Australian Open (Australia) - Qualification,hard,header
11.01. 06:50,Bonadio R.,0,1,4,,,,1,1,60%,54% (15/28),32% (6/19),29% (2/7),34% (14/41),69% (11/16),29% (2/7),14,35,64% (14/22),7,45% (21/47),39% (22/57),41% (43/104),2,38% (3/8),22% (2/9),29% (5/17),[],"['1', '1', '3', '3']",[],[],[],2.25
11.01. 06:50,Ugo Carabelli C.,2,6,6,,,,2,2,72%,73% (30/41),31% (5/16),71% (5/7),46% (13/28),68% (13/19),71% (5/7),15,16,78% (7/9),7,61% (35/57),55% (26/47),59% (61/104),4,78% (7/9),63% (5/8),71% (12/17),"['2', '0', '5', '1']","['1', '0', '2', '1', '4', '3']",[],[],[],1.65
09.01. 11:00,Bonadio R.,2,7,7^7,,,,3,3,52%,81% (30/37),44% (15/34),50% (3/6),27% (8/30),55% (29/53),44% (4/9),15,30,67% (8/12),5,63% (45/71),45% (37/83),53% (82/154),3,75% (9/12),33% (4/12),54% (13/24),"['1', '0', '6', '5']","['3', '4', '4', '5']",[],[],[],1.52
09.01. 11:00,Marinkov P.,0,5,6^2,,,,3,3,36%,73% (22/30),45% (24/53),56% (5/9),19% (7/37),56% (19/34),50% (3/6),21,42,62% (13/21),5,55% (46/83),37% (26/71),47% (72/154),3,67% (8/12),25% (3/12),46% (11/24),"['1', '1']","['3', '1', '5', '3']",[],[],[],2.54
CHALLENGER MEN - SINGLES :  Maia (Portugal),clay,header
27.11.2023,Bonadio R.,0,3,3,,,,1,3,47%,73% (16/22),40% (10/25),43% (3/7),29% (10/34),36% (5/14),100% (1/1),6,55% (26/47),31% (15/48),43% (41/95),2,56% (5/9),11% (1/9),33% (6/18),"['1', '0']",[],[],[],[],1.10
27.11.2023,Rocha F.,2,6,6,,,,2,0,71%,71% (24/34),64% (9/14),0% (0/1),27% (6/22),60% (15/25),57% (4/7),8,69% (33/48),45% (21/47),57% (54/95),5,89% (8/9),44% (4/9),67% (12/18),"['3', '3', '5', '3']","['2', '1', '6', '3']",[],[],[],6.24
CHALLENGER MEN - SINGLES :  Valencia (Spain),clay,header
21.11.2023,Bonadio R.,1,6,5,1,,,1,1,58%,60% (31/52),59% (22/37),70% (7/10),25% (10/40),40% (19/47),29% (2/7),5,60% (53/89),33% (29/87),47% (82/176),3,77% (10/13),14% (2/14),44% (12/27),"['1', '0', '5', '2']",[],[],[],[],3.21
21.11.2023,Fognini F.,2,2,7,6,,,4,8,46%,75% (30/40),60% (28/47),71% (5/7),40% (21/52),41% (15/37),30% (3/10),5,67% (58/87),40% (36/89),53% (94/176),5,86% (12/14),23% (3/13),56% (15/27),[],"['7', '5']","['3', '1', '5', '1']",[],[],1.32
CHALLENGER MEN - SINGLES :  Santa Fe 2 (Argentina),clay,header
17.10.2023,Bonadio R.,0,4,2,,,,1,1,64%,66% (23/35),35% (7/20),50% (4/8),21% (7/34),42% (5/12),33% (1/3),4,55% (30/55),26% (12/46),42% (42/101),1,56% (5/9),11% (1/9),33% (6/18),"['2', '2']",[],[],[],[],2.91
17.10.2023,Comesana F.,2,6,6,,,,7,0,74%,79% (27/34),58% (7/12),67% (2/3),46% (16/35),65% (13/20),50% (4/8),5,74% (34/46),45% (25/55),58% (59/101),5,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '3', '2']","['3', '2', '5', '2']",[],[],[],1.38
CHALLENGER MEN - SINGLES :  Buenos Aires 2 (Argentina) - Qualification,clay,header
08.10.2023,Bonadio R.,0,5,3,,,,2,1,56%,63% (20/32),52% (13/25),33% (2/6),28% (16/57),55% (16/29),17% (2/12),5,58% (33/57),37% (32/86),45% (65/143),3,60% (6/10),18% (2/11),38% (8/21),"['2', '1', '4', '3']",[],[],[],[],1.22
08.10.2023,Descotte M. F.,2,7,6,,,,0,0,66%,72% (41/57),45% (13/29),83% (10/12),38% (12/32),48% (12/25),67% (4/6),6,63% (54/86),42% (24/57),55% (78/143),5,82% (9/11),40% (4/10),62% (13/21),"['2', '2', '5', '5', '7', '5']","['3', '1']",[],[],[],4.02
CHALLENGER MEN - SINGLES :  Lisbon (Portugal),clay,header
06.10.2023,Bonadio R.,0,6^5,5,,,,2,1,57%,69% (29/42),50% (16/32),33% (1/3),20% (10/50),49% (17/35),11% (1/9),5,61% (45/74),32% (27/85),45% (72/159),3,83% (10/12),8% (1/12),46% (11/24),"['3', '3']",[],[],[],[],1.82
06.10.2023,Agamenone F.,2,7^7,7,,,,0,2,59%,80% (40/50),51% (18/35),89% (8/9),31% (13/42),50% (16/32),67% (2/3),6,68% (58/85),39% (29/74),55% (87/159),3,92% (11/12),17% (2/12),54% (13/24),"['2', '1']","['7', '5']",[],[],[],1.94
04.10.2023,Bonadio R.,2,3,6,6,,,5,2,55%,72% (31/43),57% (20/35),50% (2/4),39% (24/62),52% (15/29),33% (4/12),8,65% (51/78),43% (39/91),53% (90/169),5,85% (11/13),31% (4/13),58% (15/26),[],"['2', '0', '3', '1']","['3', '2', '5', '2']",[],[],1.45
