Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  US Open (USA) - Qualification,hard,header
02.04.2023,Vacherot V.,1,4,6,5,,,2,0,72%,63% (41/65),56% (14/25),56% (5/9),36% (21/58),50% (18/36),27% (4/15),6,61% (55/90),41% (39/94),51% (94/184),5,73% (11/15),29% (4/14),52% (15/29),[],"['3', '1', '5', '1']","['2', '1', '5', '4']",[],[],1.59
02.04.2023,Jahn J.,2,6,1,7,,,4,6,62%,64% (37/58),50% (18/36),73% (11/15),37% (24/65),44% (11/25),44% (4/9),8,59% (55/94),39% (35/90),49% (90/184),3,71% (10/14),27% (4/15),48% (14/29),"['5', '4']",[],"['2', '2', '5', '5', '7', '5']",[],[],2.24
CHALLENGER MEN - SINGLES :  Sanremo (Italy),clay,header
28.03.2023,Vacherot V.,0,3,3,,,,2,2,76%,41% (15/37),33% (4/12),40% (4/10),43% (20/46),39% (7/18),30% (3/10),4,39% (19/49),42% (27/64),41% (46/113),2,33% (3/9),33% (3/9),33% (6/18),"['2', '1', '3', '2']","['2', '2']",[],[],[],2.24
28.03.2023,Lavagno E.,2,6,6,,,,0,2,72%,57% (26/46),61% (11/18),70% (7/10),59% (22/37),67% (8/12),60% (6/10),13,58% (37/64),61% (30/49),59% (67/113),4,67% (6/9),67% (6/9),67% (12/18),"['2', '2', '3', '3', '5', '3']","['2', '1', '4', '3', '6', '3']",[],[],[],1.61
CHALLENGER MEN - SINGLES :  Sanremo (Italy) - Qualification,clay,header
27.03.2023,Vacherot V.,2,6,4,6,,,4,1,76%,68% (43/63),60% (12/20),71% (5/7),48% (30/63),46% (17/37),31% (5/16),8,66% (55/83),47% (47/100),56% (102/183),5,85% (11/13),38% (5/13),62% (16/26),"['4', '3', '6', '3']",[],"['2', '0', '3', '1', '5', '1']",[],[],2.28
27.03.2023,Arnaboldi A.,1,3,6,1,,,0,1,63%,52% (33/63),54% (20/37),69% (11/16),32% (20/63),40% (8/20),29% (2/7),4,53% (53/100),34% (28/83),44% (81/183),3,62% (8/13),15% (2/13),38% (10/26),[],"['3', '2']","['1', '2']",[],[],1.59
26.03.2023,Vacherot V.,2,7,1,7,,,2,2,68%,60% (31/52),56% (14/25),0% (0/5),32% (19/60),55% (21/38),33% (5/15),7,58% (45/77),41% (40/98),49% (85/175),4,67% (10/15),31% (5/16),48% (15/31),"['1', '2', '6', '5']",[],"['2', '4', '5', '5', '7', '5']",[],[],1.87
26.03.2023,Chazal M.,1,5,6,5,,,3,3,61%,68% (41/60),45% (17/38),67% (10/15),40% (21/52),44% (11/25),100% (5/5),12,59% (58/98),42% (32/77),51% (90/175),5,69% (11/16),33% (5/15),52% (16/31),"['2', '0']","['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],1.86
ITF MEN - SINGLES :  M25 Vila Real de Santo Antonio 2 (Portugal),hard,header
ITF MEN - SINGLES :  M25 Vila Real de Santo Antonio (Portugal),hard,header
ATP - SINGLES :  Davis Cup - World Group II (World) - Preliminary,-,header
05.02.2023,Vacherot V.,2,6^1,6,10,,,"['3', '1']","['2', '1', '3', '2', '5', '4']","['1', '0', '3', '2', '6', '3']",[],[],0
05.02.2023,Bertran P.,1,7^7,4,8,,,"['2', '3']","['2', '2', '4', '4']","['1', '2']",[],[],0
04.02.2023,Vacherot V.,2,6,5,6,,,"['4', '2']","['1', '2']","['4', '3']",[],[],1.38
04.02.2023,Cid Subervi R.,1,3,7,4,,,[],"['2', '0', '7', '5']",[],[],[],3.04
CHALLENGER MEN - SINGLES :  Ottignies-Louvain-la-Neuve (Belgium),hard,header
25.01.2023,Vacherot V.,0,4,2,,,,2,1,63%,59% (26/44),42% (11/26),60% (6/10),30% (10/33),30% (6/20),20% (1/5),5,53% (37/70),30% (16/53),43% (53/123),3,56% (5/9),11% (1/9),33% (6/18),"['2', '1']",[],[],[],[],2.29
25.01.2023,Celikbilek A.,2,6,6,,,,3,1,62%,70% (23/33),70% (14/20),80% (4/5),41% (18/44),58% (15/26),40% (4/10),7,70% (37/53),47% (33/70),57% (70/123),5,89% (8/9),44% (4/9),67% (12/18),"['4', '4', '6', '4']","['3', '1', '6', '2']",[],[],[],1.58
CHALLENGER MEN - SINGLES :  Oeiras 2 (Portugal),hard,header
10.01.2023,Vacherot V.,0,5,4,,,,5,1,66%,64% (28/44),61% (14/23),57% (4/7),27% (12/44),43% (13/30),13% (1/8),9,63% (42/67),34% (25/74),48% (67/141),3,73% (8/11),9% (1/11),41% (9/22),[],"['2', '2']",[],[],[],1.99
10.01.2023,Collignon R.,2,7,6,,,,3,2,59%,73% (32/44),57% (17/30),88% (7/8),36% (16/44),39% (9/23),43% (3/7),6,66% (49/74),37% (25/67),52% (74/141),5,91% (10/11),27% (3/11),59% (13/22),"['6', '5']","['1', '0', '4', '3']",[],[],[],1.75
CHALLENGER MEN - SINGLES :  Oeiras (Portugal),hard,header
03.01.2023,Vacherot V.,1,6,4,1,,,4,3,63%,73% (29/40),29% (7/24),43% (3/7),33% (14/42),35% (7/20),50% (3/6),8,56% (36/64),34% (21/62),45% (57/126),3,67% (8/12),25% (3/12),46% (11/24),"['2', '0', '5', '1']","['4', '3']",[],[],[],1.43
03.01.2023,Domingues J.,2,1,6,6,,,1,1,68%,67% (28/42),65% (13/20),50% (3/6),28% (11/40),71% (17/24),57% (4/7),12,66% (41/62),44% (28/64),55% (69/126),6,75% (9/12),33% (4/12),54% (13/24),[],"['4', '4', '6', '4']","['2', '0', '5', '1']",[],[],2.71
CHALLENGER MEN - SINGLES :  Maspalomas (Spain),clay,header
28.11.2022,Vacherot V.,1,6,2,4,,,2,0,74%,65% (31/48),65% (11/17),20% (1/5),34% (17/50),47% (8/17),75% (3/4),6,65% (42/65),37% (25/67),51% (67/132),5,69% (9/13),25% (3/12),48% (12/25),"['3', '1', '5', '1']",[],"['3', '2']",[],[],1.51
28.11.2022,Diez S.,2,1,6,6,,,1,2,75%,66% (33/50),53% (9/17),25% (1/4),35% (17/48),35% (6/17),80% (4/5),9,63% (42/67),35% (23/65),49% (65/132),5,75% (9/12),31% (4/13),52% (13/25),[],"['4', '2', '6', '2']","['4', '4', '6', '4']",[],[],2.50
CHALLENGER MEN - SINGLES :  Drummondville (Canada),hard,header
16.11.2022,Vacherot V.,0,5,2,,,,3,1,60%,51% (19/37),52% (13/25),0% (0/4),24% (8/34),46% (13/28),100% (1/1),4,52% (32/62),34% (21/62),43% (53/124),3,60% (6/10),10% (1/10),35% (7/20),"['2', '0']",[],[],[],[],3.24
16.11.2022,Mmoh M.,2,7,6,,,,4,4,55%,76% (26/34),54% (15/28),0% (0/1),49% (18/37),48% (12/25),100% (4/4),6,66% (41/62),48% (30/62),57% (71/124),5,90% (9/10),40% (4/10),65% (13/20),"['4', '5', '6', '5']","['2', '1', '5', '2']",[],[],[],1.31
CHALLENGER MEN - SINGLES :  Calgary (Canada),hard,header
11.11.2022,Vacherot V.,0,6^3,3,,,,2,6,39%,76% (22/29),41% (19/46),77% (10/13),17% (6/36),51% (19/37),50% (2/4),9,55% (41/75),34% (25/73),45% (66/148),3,70% (7/10),18% (2/11),43% (9/21),"['4', '4']","['3', '4']",[],[],[],3.78
11.11.2022,Pospisil V.,2,7^7,6,,,,14,4,49%,83% (30/36),49% (18/37),50% (2/4),24% (7/29),59% (27/46),23% (3/13),7,66% (48/73),45% (34/75),55% (82/148),5,82% (9/11),30% (3/10),57% (12/21),"['3', '2']","['2', '0', '5', '3']",[],[],[],1.26
09.11.2022,Vacherot V.,2,6,4,6,,,11,4,58%,88% (36/41),53% (16/30),0% (0/2),31% (12/39),47% (17/36),100% (4/4),6,73% (52/71),39% (29/75),55% (81/146),5,86% (12/14),31% (4/13),59% (16/27),"['2', '0', '6', '4']",[],"['2', '0', '4', '0']",[],[],1.58
09.11.2022,Geerts M.,1,4,6,1,,,9,1,52%,69% (27/39),53% (19/36),0% (0/4),12% (5/41),47% (14/30),100% (2/2),7,61% (46/75),27% (19/71),45% (65/146),3,69% (9/13),14% (2/14),41% (11/27),"['3', '4']","['1', '0']",[],[],[],2.28
CHALLENGER MEN - SINGLES :  Las Vegas (USA),hard,header
26.10.2022,Vacherot V.,1,7^7,6^4,4,,,14,3,70%,68% (54/80),59% (20/34),71% (5/7),22% (13/58),41% (20/49),20% (1/5),10,65% (74/114),31% (33/107),48% (107/221),3,88% (15/17),6% (1/17),47% (16/34),[],[],"['3', '5']",[],[],4.02
26.10.2022,Shelton B.,2,6^4,7^7,6,,,14,5,54%,78% (45/58),59% (29/49),80% (4/5),33% (26/80),41% (14/34),29% (2/7),6,69% (74/107),35% (40/114),52% (114/221),3,94% (16/17),12% (2/17),53% (18/34),[],[],"['1', '0', '4', '1']",[],[],1.22
CHALLENGER MEN - SINGLES :  Fairfield (USA),hard,header
12.10.2022,Vacherot V.,0,4,3,,,,1,2,58%,73% (24/33),25% (6/24),43% (3/7),32% (12/38),41% (7/17),25% (1/4),5,53% (30/57),35% (19/55),44% (49/112),2,60% (6/10),11% (1/9),37% (7/19),"['3', '3']",[],[],[],[],2.20
12.10.2022,Shang J.,2,6,6,,,,1,1,69%,68% (26/38),59% (10/17),75% (3/4),27% (9/33),75% (18/24),57% (4/7),11,65% (36/55),47% (27/57),56% (63/112),4,89% (8/9),40% (4/10),63% (12/19),"['3', '2', '5', '4']","['4', '3', '6', '3']",[],[],[],1.64
11.10.2022,Vacherot V.,2,7^7,7^7,,,,8,2,73%,79% (48/61),65% (15/23),100% (1/1),20% (9/44),28% (8/29),0% (0/0),4,75% (63/84),23% (17/73),51% (80/157),2,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],1.09
11.10.2022,Fearnley J.,0,6^2,6^5,,,,7,3,60%,80% (35/44),72% (21/29),0% (0/0),21% (13/61),35% (8/23),0% (0/1),6,77% (56/73),25% (21/84),49% (77/157),1,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],6.70
CHALLENGER MEN - SINGLES :  Tiburon (USA),hard,header
05.10.2022,Vacherot V.,0,2,4,,,,1,1,72%,61% (23/38),47% (7/15),40% (2/5),17% (6/35),44% (8/18),0% (0/3),6,57% (30/53),26% (14/53),42% (44/106),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.81
05.10.2022,Escobedo E.,2,6,6,,,,3,1,66%,83% (29/35),56% (10/18),100% (3/3),39% (15/38),53% (8/15),60% (3/5),7,74% (39/53),43% (23/53),58% (62/106),5,100% (9/9),33% (3/9),67% (12/18),"['4', '2', '6', '2']","['6', '4']",[],[],[],1.97
04.10.2022,Vacherot V.,2,4,6,6,,,4,2,64%,77% (53/69),42% (16/38),75% (6/8),30% (18/60),49% (18/37),20% (3/15),6,64% (69/107),37% (36/97),51% (105/204),3,87% (13/15),20% (3/15),53% (16/30),[],"['3', '2']","['2', '1', '5', '4']",[],[],1.30
04.10.2022,Zhu E.,1,6,4,4,,,4,3,62%,70% (42/60),51% (19/37),80% (12/15),23% (16/69),58% (22/38),25% (2/8),5,63% (61/97),36% (38/107),49% (99/204),3,80% (12/15),13% (2/15),47% (14/30),"['6', '4']",[],"['4', '4']",[],[],3.36
CHALLENGER MEN - SINGLES :  Charleston (USA),hard,header
28.09.2022,Vacherot V.,0,5,4,,,,1,4,61%,62% (29/47),60% (18/30),75% (6/8),18% (6/34),30% (8/27),0% (0/2),3,61% (47/77),23% (14/61),44% (61/138),1,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],1.69
28.09.2022,Mena F.,2,7,6,,,,11,0,56%,82% (28/34),70% (19/27),100% (2/2),38% (18/47),40% (12/30),25% (2/8),8,77% (47/61),39% (30/77),56% (77/138),5,100% (11/11),18% (2/11),59% (13/22),"['6', '5']","['1', '0']",[],[],[],2.09
ATP - SINGLES :  Davis Cup - World Group II (World),-,header
17.09.2022,Vacherot V.,2,6,7^7,,,,"['5', '3']",[],[],[],[],1.74
17.09.2022,Hassan B.,0,3,6^3,,,,[],[],[],[],[],2.05
16.09.2022,Vacherot V.,1,6,4,3,,,"['3', '1', '5', '1']",[],[],[],[],1.47
16.09.2022,Habib H.,2,1,6,6,,,[],"['6', '4']","['2', '0']",[],[],2.64
CHALLENGER MEN - SINGLES :  Nonthaburi 3 (Thailand),hard,header
07.09.2022,Vacherot V.,1,5,6,4,,,3,1,66%,69% (41/59),55% (17/31),50% (4/8),27% (14/51),50% (14/28),50% (4/8),6,64% (58/90),35% (28/79),51% (86/169),3,73% (11/15),29% (4/14),52% (15/29),"['4', '2']","['2', '0', '5', '1']","['3', '2']",[],[],1.15
07.09.2022,Santillan A.,2,7,1,6,,,7,8,65%,73% (37/51),50% (14/28),50% (4/8),31% (18/59),45% (14/31),50% (4/8),7,65% (51/79),36% (32/90),49% (83/169),3,71% (10/14),27% (4/15),48% (14/29),"['3', '4', '6', '5']",[],"['3', '3', '6', '4']",[],[],4.44
CHALLENGER MEN - SINGLES :  Nonthaburi 2 (Thailand),hard,header
02.09.2022,Vacherot V.,1,5,6,6^2,,,8,1,70%,79% (46/58),72% (18/25),33% (1/3),14% (7/50),46% (18/39),67% (2/3),5,77% (64/83),28% (25/89),52% (89/172),3,88% (15/17),13% (2/16),52% (17/33),[],"['5', '3']","['5', '4']",[],[],1.27
02.09.2022,Zhukayev B.,2,7,3,7^7,,,18,9,56%,86% (43/50),54% (21/39),33% (1/3),21% (12/58),28% (7/25),67% (2/3),7,72% (64/89),23% (19/83),48% (83/172),3,88% (14/16),12% (2/17),48% (16/33),"['6', '5']",[],"['5', '5']",[],[],3.66
01.09.2022,Vacherot V.,2,7^7,6,,,,10,0,74%,85% (33/39),79% (11/14),0% (0/0),20% (7/35),47% (9/19),100% (2/2),8,83% (44/53),30% (16/54),56% (60/107),3,100% (10/10),18% (2/11),57% (12/21),[],"['3', '2', '6', '3']",[],[],[],2.01
01.09.2022,Watanuki Y.,0,6^2,3,,,,8,0,65%,80% (28/35),53% (10/19),0% (0/2),15% (6/39),21% (3/14),0% (0/0),4,70% (38/54),17% (9/53),44% (47/107),1,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],1.77
30.08.2022,Vacherot V.,2,6,2,6,,,6,2,69%,68% (38/56),52% (13/25),67% (4/6),36% (21/59),53% (23/43),24% (4/17),4,63% (51/81),43% (44/102),52% (95/183),5,83% (10/12),33% (4/12),58% (14/24),"['2', '0', '4', '0']",[],"['4', '3', '6', '3']",[],[],1.27
30.08.2022,Santillan A.,1,1,6,3,,,4,8,58%,64% (38/59),47% (20/43),76% (13/17),32% (18/56),48% (12/25),33% (2/6),8,57% (58/102),37% (30/81),48% (88/183),5,67% (8/12),17% (2/12),42% (10/24),[],"['4', '2', '6', '2']",[],[],[],3.52
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
28.08.2022,Vacherot V.,2,6,7^7,,,,9,1,65%,72% (33/46),56% (14/25),50% (2/4),34% (14/41),54% (14/26),75% (3/4),6,68% (48/71),42% (28/67),55% (76/138),3,82% (9/11),30% (3/10),57% (12/21),"['2', '0']","['3', '2', '4', '3']",[],[],[],1.52
28.08.2022,Ly Nam H.,0,3,6^4,,,,2,0,61%,66% (27/41),46% (12/26),25% (1/4),28% (13/46),44% (11/25),50% (2/4),5,58% (39/67),32% (23/71),45% (62/138),2,70% (7/10),18% (2/11),43% (9/21),[],"['3', '3', '4', '4']",[],[],[],2.48
27.08.2022,Vacherot V.,2,6,5,7^8,,,8,1,78%,77% (59/77),68% (15/22),60% (3/5),25% (17/69),41% (13/32),50% (2/4),6,75% (74/99),30% (30/101),52% (104/200),2,88% (15/17),13% (2/16),52% (17/33),"['4', '2', '5', '3']",[],[],[],[],1.73
27.08.2022,Uchiyama Y.,1,3,7,6^6,,,6,1,68%,75% (52/69),59% (19/32),50% (2/4),23% (18/77),32% (7/22),40% (2/5),6,70% (71/101),25% (25/99),48% (96/200),3,88% (14/16),12% (2/17),48% (16/33),"['3', '4']","['7', '5']",[],[],[],2.06
26.08.2022,Vacherot V.,2,6,6,,,,2,0,60%,72% (21/29),74% (14/19),100% (1/1),48% (20/42),44% (7/16),44% (4/9),5,73% (35/48),47% (27/58),58% (62/106),3,100% (8/8),44% (4/9),71% (12/17),"['2', '1', '6', '3']","['3', '1', '6', '2']",[],[],[],1.40
26.08.2022,Jacquet K.,0,3,2,,,,2,1,72%,52% (22/42),56% (9/16),56% (5/9),28% (8/29),26% (5/19),0% (0/1),5,53% (31/58),27% (13/48),42% (44/106),1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],2.89
25.08.2022,Vacherot V.,2,7,6,,,,7,0,63%,73% (29/40),67% (16/24),50% (1/2),31% (11/36),54% (13/24),43% (3/7),6,70% (45/64),40% (24/60),56% (69/124),3,91% (10/11),30% (3/10),62% (13/21),"['3', '1', '7', '5']","['3', '1']",[],[],[],1.69
25.08.2022,Kuhn N.,0,5,3,,,,3,1,60%,69% (25/36),46% (11/24),57% (4/7),28% (11/40),33% (8/24),50% (1/2),6,60% (36/60),30% (19/64),44% (55/124),2,70% (7/10),9% (1/11),38% (8/21),"['2', '3']",[],[],[],[],2.14
