Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.04.2024,Serafini M.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '5', '2']",[],[],[],1.65
12.04.2024,Oliel Y.,0,,,,,,"['3', '5']",[],[],[],[],2.15
11.04.2024,Oliel Y.,2,,,,,,"['1', '0', '2', '1', '3', '2', '6', '3']","['2', '0', '4', '2', '5', '3', '6', '4']",[],[],[],1.40
11.04.2024,Dellavedova M.,0,,,,,,"['1', '1', '2', '2']","['2', '3', '3', '4', '4', '5']",[],[],[],2.79
10.04.2024,Oliel Y.,2,,,,,,"['2', '0', '5', '3']","['2', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.78
10.04.2024,Ferrari G.,1,,,,,,"['3', '4']","['3', '1', '5', '1']",[],[],[],1.94
08.04.2024,Oliel Y.,2,,,,,,"['1', '0', '3', '0']",[],"['3', '1', '5', '1']",[],[],1.37
08.04.2024,Pontjodikromo S.,1,,,,,,[],"['4', '2']",[],[],[],2.92
04.04.2024,Compagnucci T.,2,,,,,,"['4', '3']",[],"['2', '2', '6', '4']",[],[],2.75
04.04.2024,Oliel Y.,1,,,,,,[],"['2', '0', '4', '0']","['1', '0']",[],[],1.41
03.04.2024,Oliel Y.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['4', '2', '5', '3']","['1', '0', '3', '0']",[],[],1.06
03.04.2024,Gola A.,1,,,,,,[],"['3', '4', '4', '5']",[],[],[],7.60
02.04.2024,Oliel Y.,2,,,,,,"['2', '1', '5', '2', '6', '3']","['4', '4', '5', '5', '6', '6']",[],[],[],1.10
02.04.2024,Salomone F.,0,,,,,,"['3', '5']","['4', '3', '5', '4', '6', '5']",[],[],[],6.15
