Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
15.01.2022,Rajski M.,0,3,4,,,,['-'],['-'],['-'],['-'],['-'],2.09
15.01.2022,Apostol B. I.,2,6,6,,,,['-'],['-'],['-'],['-'],['-'],1.72
13.01.2022,Rajski M.,2,6,3,13,,,['-'],['-'],['-'],['-'],['-'],2.48
13.01.2022,Lopez Montagud C.,1,1,6,11,,,['-'],['-'],['-'],['-'],['-'],1.52
ITF MEN - SINGLES :  M25 Calabasas,hard,header
ITF MEN - SINGLES :  M25 Pardubice (Czech Republic),clay,header
24.09.2021,Rajski M.,0,3,0,,,,['-'],['-'],['-'],['-'],['-'],1.69
24.09.2021,Weis A.,1,6,2,,,,['-'],['-'],['-'],['-'],['-'],2.18
23.09.2021,Rajski M.,2,5,6,7,,,['-'],['-'],['-'],['-'],['-'],0
23.09.2021,Handel T.,1,7,4,5,,,['-'],['-'],['-'],['-'],['-'],0
23.09.2021,Rajski M.,2,6^5,6,7^7,,,['-'],['-'],['-'],['-'],['-'],1.96
23.09.2021,Krumich M.,1,7^7,3,6^2,,,['-'],['-'],['-'],['-'],['-'],1.81
CHALLENGER MEN - SINGLES :  Szczecin (Poland) - Qualification,clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Wroclaw (Poland),clay,header
ITF MEN - SINGLES :  M15 Koszalin 2 (Poland),clay,header
ITF MEN - SINGLES :  M15 Koszalin (Poland),clay,header
ITF MEN - SINGLES :  M25 Pardubice (Czech Republic),clay,header
ITF MEN - SINGLES :  M15 Koszalin (Poland),clay,header
ITF MEN - SINGLES :  M15 Szczawno (Poland),clay,header
ITF MEN - SINGLES :  M25 Poznan (Poland),clay,header
ITF MEN - SINGLES :  M25 Bielsko Biala (Poland),clay,header
ITF MEN - SINGLES :  M25 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Eindhoven (Netherlands),clay,header
ITF MEN - SINGLES :  M25 Biella (Italy),clay,header
ITF MEN - SINGLES :  M15 Wroclaw (Poland),clay,header
ITF MEN - SINGLES :  M25 Calabasas,hard,header
ITF MEN - SINGLES :  M25 Bakersfield,hard,header
ITF MEN - SINGLES :  M25 Austin,hard,header
ITF MEN - SINGLES :  M15 Albuquerque,hard,header
ITF MEN - SINGLES :  M25 Poznan (Poland),clay,header
ITF MEN - SINGLES :  M15 Malmo (Sweden),clay,header
ITF MEN - SINGLES :  M15 Parnu (Estonia),clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Innsbruck (Austria),clay,header
ITF MEN - SINGLES :  M15 Wroclaw (Poland),clay,header
ITF MEN - SINGLES :  M15 Bytom (Poland),clay,header
ITF MEN - SINGLES :  M15 Antalya 14 (Turkey),clay,header
ITF MEN - SINGLES :  M15 Antalya 2 (Turkey),clay,header
ITF MEN - SINGLES :  M15 Antalya (Turkey),clay,header
ITF MEN - SINGLES :  M25 Calabasas,hard,header
ITF MEN - SINGLES :  M25 Pardubice (Czech Republic),clay,header
CHALLENGER MEN - SINGLES :  Szczecin (Poland) - Qualification,clay,header
ITF MEN - SINGLES :  M15 Lodz (Poland),clay,header
ITF MEN - SINGLES :  M15 Wroclaw (Poland),clay,header
ITF MEN - SINGLES :  M15 Koszalin 2 (Poland),clay,header
ITF MEN - SINGLES :  M15 Koszalin (Poland),clay,header
ITF MEN - SINGLES :  M25 Pardubice (Czech Republic),clay,header
ITF MEN - SINGLES :  M15 Koszalin (Poland),clay,header
ITF MEN - SINGLES :  M15 Szczawno (Poland),clay,header
