Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Todi (Italy),clay,header
11.04. 19:40,Polmans M.,2,6,7,,,,1,8,64%,67% (24/36),45% (9/20),50% (3/6),44% (22/50),75% (18/24),60% (6/10),10,59% (33/56),54% (40/74),56% (73/130),4,70% (7/10),55% (6/11),62% (13/21),['2'],"['1', '2']",[],[],[],2.02
09.04. 20:40,Blancaneaux G.,2,2,6,6,,,1,7,71%,61% (46/75),61% (19/31),83% (10/12),35% (20/57),33% (6/18),67% (2/3),6,61% (65/106),35% (26/75),50% (91/181),3,86% (12/14),15% (2/13),52% (14/27),"['3', '5']",[],[],[],[],2.56
09.04. 20:40,Campana Lee G.,1,6,3,4,,,2,1,76%,65% (37/57),67% (12/18),33% (1/3),39% (29/75),39% (12/31),17% (2/12),10,65% (49/75),39% (41/106),50% (90/181),5,85% (11/13),14% (2/14),48% (13/27),[],['5'],['5'],[],[],1.48
CHALLENGER MEN - SINGLES :  Florianopolis (Brazil),clay,header
03.04. 21:40,Blancaneaux G.,0,5,1,,,,2,0,76%,50% (25/50),50% (8/16),14% (1/7),36% (12/33),40% (8/20),40% (2/5),6,50% (33/66),38% (20/53),45% (53/119),2,40% (4/10),22% (2/9),32% (6/19),"['1', '2', '6']","['1', '3', '6']",[],[],[],1.23
03.04. 21:40,Ugo Carabelli C.,2,7,6,,,,2,1,62%,64% (21/33),60% (12/20),60% (3/5),50% (25/50),50% (8/16),86% (6/7),6,62% (33/53),50% (33/66),55% (66/119),7,78% (7/9),60% (6/10),68% (13/19),"['1', '2']",[],[],[],[],3.95
02.04. 20:30,Blancaneaux G.,2,4,7^7,6,,,2,7,73%,67% (65/97),42% (15/36),81% (17/21),30% (18/61),51% (18/35),44% (4/9),7,60% (80/133),38% (36/96),51% (116/229),5,75% (12/16),27% (4/15),52% (16/31),['6'],"['2', '5', '2']",['1'],[],[],5.17
02.04. 20:30,Saraiva Dos Santos P. A.,1,6,6^4,3,,,3,3,64%,70% (43/61),49% (17/35),56% (5/9),33% (32/97),58% (21/36),19% (4/21),6,63% (60/96),40% (53/133),49% (113/229),3,73% (11/15),25% (4/16),48% (15/31),[],"['2', '4', '1', '4']","['3', '5']",[],[],1.15
CHALLENGER MEN - SINGLES :  Sao Leopoldo (Brazil),clay,header
26.03. 19:40,Blancaneaux G.,0,3,2,,,,1,3,55%,53% (17/32),50% (13/26),43% (3/7),29% (10/35),46% (13/28),20% (1/5),5,52% (30/58),37% (23/63),44% (53/121),2,50% (4/8),11% (1/9),29% (5/17),['5'],"['1', '3', '5']",[],[],[],2.04
