Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
18.03. 00:10,Siegemund L.,2,6,6,,,,0,3,80%,67% (26/39),50% (5/10),100% (3/3),60% (18/30),65% (13/20),40% (6/15),6,63% (31/49),62% (31/50),63% (62/99),12,100% (6/6),100% (6/6),100% (12/12),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.59
18.03. 00:10,Montgomery R.,0,0,0,,,,3,5,60%,40% (12/30),35% (7/20),60% (9/15),33% (13/39),50% (5/10),0% (0/3),4,38% (19/50),37% (18/49),37% (37/99),0,0% (0/6),0% (0/6),0% (0/12),[],[],[],[],[],2.28
WTA - SINGLES :  Indian Wells (USA) - Qualification,hard,header
04.03. 02:10,Siegemund L.,1,1,6,4,,,0,1,70%,47% (24/51),50% (11/22),20% (2/10),43% (26/60),73% (11/15),55% (6/11),12,48% (35/73),49% (37/75),49% (72/148),4,38% (5/13),46% (6/13),42% (11/26),"['1', '5']","['1', '0', '3', '0', '4', '3', '6', '3']","['3', '1']",[],[],1.43
04.03. 02:10,Hontama M.,2,6,3,6,,,0,0,80%,57% (34/60),27% (4/15),45% (5/11),53% (27/51),50% (11/22),80% (8/10),8,51% (38/75),52% (38/73),51% (76/148),5,54% (7/13),62% (8/13),58% (15/26),"['1', '0', '3', '0', '5', '0', '6', '1']","['1', '3', '3', '3']","['2', '3', '4', '3']",[],[],2.82
WTA - SINGLES :  Dubai (United Arab Emirates) - Qualification,hard,header
16.02. 11:40,Siegemund L.,1,6,1,2,,,1,2,73%,53% (36/68),44% (11/25),54% (7/13),27% (13/48),50% (13/26),43% (3/7),5,51% (47/93),35% (26/74),44% (73/167),4,50% (6/12),23% (3/13),36% (9/25),"['5', '4']","['1', '0']","['2', '0']",[],[],1.70
16.02. 11:40,Pera B.,2,4,6,6,,,10,3,65%,73% (35/48),50% (13/26),57% (4/7),47% (32/68),56% (14/25),46% (6/13),7,65% (48/74),49% (46/93),56% (94/167),6,77% (10/13),50% (6/12),64% (16/25),[],"['1', '1', '3', '1', '5', '1']","['1', '2', '3', '2', '5', '2']",[],[],2.15
WTA - SINGLES :  Doha (Qatar) - Qualification,hard,header
10.02. 17:40,Siegemund L.,0,4,4,,,,1,1,63%,56% (20/36),57% (12/21),40% (2/5),23% (9/39),45% (13/29),33% (1/3),5,56% (32/57),32% (22/68),43% (54/125),2,70% (7/10),10% (1/10),40% (8/20),[],"['2', '0']",[],[],[],2.68
10.02. 17:40,Collins D.,2,6,6,,,,0,1,57%,77% (30/39),55% (16/29),67% (2/3),44% (16/36),43% (9/21),60% (3/5),6,68% (46/68),44% (25/57),57% (71/125),3,90% (9/10),30% (3/10),60% (12/20),"['2', '1']","['1', '2', '5', '4']",[],[],[],1.48
09.02. 18:35,Siegemund L.,2,4,6,6,,,1,2,76%,54% (38/70),73% (16/22),64% (7/11),41% (20/49),50% (19/38),60% (6/10),7,59% (55/93),45% (39/87),52% (94/180),3,71% (10/14),40% (6/15),55% (16/29),"['2', '1', '4', '3']","['5', '4']","['2', '1', '3', '2', '6', '3']",[],[],1.52
09.02. 18:35,Bronzetti L.,1,6,4,3,,,0,1,56%,59% (29/49),50% (19/38),40% (4/10),46% (32/70),27% (6/22),36% (4/11),5,55% (48/87),41% (38/93),48% (86/180),4,60% (9/15),29% (4/14),45% (13/29),"['3', '3', '4', '4', '6', '4']",[],"['2', '2']",[],[],2.54
WTA - SINGLES :  Cluj-Napoca (Romania),hard,header
05.02. 14:45,Siegemund L.,0,4,4,,,,0,2,77%,48% (23/48),43% (6/14),45% (5/11),41% (23/56),64% (16/25),50% (4/8),8,47% (29/62),48% (39/81),48% (68/143),3,40% (4/10),40% (4/10),40% (8/20),"['1', '0', '3', '4']","['2', '3', '4', '5']",[],[],[],1.49
05.02. 14:45,Parrizas-Diaz N.,2,6,6,,,,1,1,69%,59% (33/56),36% (9/25),50% (4/8),52% (25/48),57% (8/14),55% (6/11),7,52% (42/81),53% (33/62),52% (75/143),4,60% (6/10),60% (6/10),60% (12/20),"['1', '1', '3', '1', '6', '4']","['3', '1', '4', '2', '6', '4']",[],[],[],2.67
WTA - SINGLES :  Australian Open (Australia),hard,header
17.01. 08:25,Siegemund L.,1,4,6,3,,,3,1,77%,47% (32/68),60% (12/20),50% (7/14),48% (28/58),38% (10/26),55% (6/11),29,53,75% (9/12),6,50% (44/88),45% (38/84),48% (82/172),4,50% (7/14),43% (6/14),46% (13/28),"['1', '1', '2', '2', '3', '3']","['3', '3', '5', '3']","['3', '4']",[],[],1.68
17.01. 08:25,Hunter S.,2,6,3,6,,,0,3,69%,52% (30/58),62% (16/26),45% (5/11),53% (36/68),40% (8/20),50% (7/14),11,29,50% (6/12),7,55% (46/84),50% (44/88),52% (90/172),3,57% (8/14),50% (7/14),54% (15/28),"['1', '0', '2', '1', '3', '2', '4', '3']","['3', '2']","['3', '1', '5', '3']",[],[],2.22
15.01. 07:30,Siegemund L.,2,6,3,7^11,,,0,4,78%,55% (46/83),39% (9/23),56% (9/16),39% (26/67),66% (25/38),44% (8/18),26,45,64% (7/11),9,52% (55/106),49% (51/105),50% (106/211),5,50% (7/14),53% (8/15),52% (15/29),"['1', '0', '3', '2', '5', '2']","['1', '2', '2', '3', '3', '4']","['1', '1', '4', '4']",[],[],3.00
15.01. 07:30,Alexandrova E.,1,2,6,6^9,,,2,8,64%,61% (41/67),34% (13/38),56% (10/18),45% (37/83),61% (14/23),44% (7/16),33,49,75% (15/20),10,51% (54/105),48% (51/106),50% (105/211),3,47% (7/15),50% (7/14),48% (14/29),"['1', '1']","['2', '0', '3', '1', '4', '2', '5', '3']","['1', '0', '2', '1']",[],[],1.40
WTA - SINGLES :  Adelaide (Australia),hard,header
10.01. 08:10,Siegemund L.,2,6,7,,,,0,2,77%,58% (29/50),60% (9/15),25% (1/4),48% (21/44),50% (10/20),56% (5/9),6,58% (38/65),48% (31/64),53% (69/129),5,73% (8/11),45% (5/11),59% (13/22),"['1', '0', '3', '0', '5', '4']","['4', '5', '6', '5']",[],[],[],2.12
10.01. 08:10,Bogdan A.,0,4,5,,,,1,1,69%,52% (23/44),50% (10/20),44% (4/9),42% (21/50),40% (6/15),75% (3/4),7,52% (33/64),42% (27/65),47% (60/129),4,55% (6/11),27% (3/11),41% (9/22),"['1', '3', '3', '3']","['2', '0']",[],[],[],1.74
09.01. 05:10,Siegemund L.,2,6^1,6,6,,,2,5,80%,60% (49/82),48% (10/21),64% (9/14),38% (17/45),49% (25/51),64% (7/11),7,57% (59/103),44% (42/96),51% (101/199),4,69% (11/16),44% (7/16),56% (18/32),"['5', '5', '6', '6']","['1', '2', '4', '3']","['1', '2', '3', '4', '5', '4']",[],[],4.34
09.01. 05:10,Samsonova L.,1,7^7,4,4,,,8,7,47%,62% (28/45),51% (26/51),36% (4/11),40% (33/82),52% (11/21),36% (5/14),8,56% (54/96),43% (44/103),49% (98/199),3,56% (9/16),31% (5/16),44% (14/32),"['4', '3', '6', '5']","['2', '0']","['2', '0', '4', '2']",[],[],1.23
WTA - SINGLES :  Nanchang (China),hard,header
20.10.2023,Siegemund L.,2,6,6,,,,0,3,73%,68% (27/40),47% (7/15),67% (2/3),53% (16/30),71% (12/17),63% (5/8),7,62% (34/55),58% (28/48),60% (62/103),4,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '6', '1']","['2', '2', '4', '2']",[],[],[],1.01
20.10.2023,Eikeri U.,0,1,3,,,,0,3,64%,47% (14/30),35% (6/17),38% (3/8),33% (13/40),53% (8/15),33% (1/3),4,42% (20/48),38% (21/55),40% (41/103),2,38% (3/8),13% (1/8),25% (4/16),[],"['2', '1']",[],[],[],17.00
17.10.2023,Siegemund L.,2,6,7,,,,0,2,67%,65% (26/40),65% (13/20),89% (8/9),53% (23/43),52% (13/25),83% (5/6),13,65% (39/60),53% (36/68),59% (75/128),7,89% (8/9),50% (5/10),68% (13/19),"['2', '1', '4', '1', '6', '1']","['5', '5', '7', '5']",[],[],[],2.22
17.10.2023,Wang Xin.,0,1,5,,,,0,2,63%,47% (20/43),48% (12/25),17% (1/6),35% (14/40),35% (7/20),11% (1/9),5,47% (32/68),35% (21/60),41% (53/128),3,50% (5/10),11% (1/9),32% (6/19),[],"['3', '2']",[],[],[],1.68
WTA - SINGLES :  Zhengzhou (China),hard,header
