Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.01.,Yuan Y.,1,,,,,,7,0,64%,53% (33/62),54% (19/35),60% (9/15),36% (21/58),54% (15/28),71% (5/7),25,19,33% (2/6),54% (52/97),42% (36/86),48% (88/183),3,0,57% (8/14),33% (5/15),45% (13/29),[],"['1', '0', '3', '0', '5', '4']","['1', '0', '3', '4']",[],[],2.32
06.01.,Osorio C.,2,,,,,,1,1,66%,65% (26/40),52% (11/21),80% (8/10),46% (18/39),67% (16/24),38% (5/13),61% (37/61),54% (34/63),57% (71/124),8,0,78% (7/9),63% (5/8),71% (12/17),"['2', '2', '4', '2', '6', '2']","['3', '3', '5', '3']",[],[],[],2.22
06.01.,Yuan Y.,0,,,,,,0,1,62%,54% (21/39),33% (8/24),62% (8/13),35% (14/40),48% (10/21),20% (2/10),46% (29/63),39% (24/61),43% (53/124),2,0,38% (3/8),22% (2/9),29% (5/17),"['2', '1']","['3', '2']",[],[],[],1.68
02.01.,Kalinina A.,2,,,,,,0,2,66%,71% (25/35),39% (7/18),67% (4/6),45% (17/38),73% (16/22),60% (6/10),60% (32/53),55% (33/60),58% (65/113),5,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '5', '0', '6', '1']","['4', '2', '6', '4']",[],[],[],2.22
02.01.,Yuan Y.,0,,,,,,2,1,63%,55% (21/38),27% (6/22),40% (4/10),29% (10/35),61% (11/18),33% (2/6),45% (27/60),40% (21/53),42% (48/113),5,1,33% (3/9),25% (2/8),29% (5/17),"['1', '5']","['4', '5']",[],[],[],1.68
01.01.,Yuan Y.,2,,,,,,1,4,58%,75% (24/32),52% (12/23),50% (1/2),33% (15/45),64% (18/28),33% (4/12),65% (36/55),45% (33/73),54% (69/128),7,0,89% (8/9),40% (4/10),63% (12/19),"['2', '1']","['2', '3', '4', '3', '6', '3']",[],[],[],2.71
01.01.,Kostyuk M.,0,,,,,,3,8,62%,67% (30/45),36% (10/28),67% (8/12),25% (8/32),48% (11/23),50% (1/2),55% (40/73),35% (19/55),46% (59/128),3,1,60% (6/10),11% (1/9),37% (7/19),[],"['2', '0']",[],[],[],1.47
30.12.2024,Yuan Y.,2,,,,,,1,0,65%,79% (27/34),72% (13/18),100% (3/3),38% (14/37),57% (8/14),50% (3/6),77% (40/52),43% (22/51),60% (62/103),6,0,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '5', '2']","['1', '0']",[],[],[],1.59
30.12.2024,Rus A.,0,,,,,,3,1,73%,62% (23/37),43% (6/14),50% (3/6),21% (7/34),28% (5/18),0% (0/3),57% (29/51),23% (12/52),40% (41/103),4,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.40
02.11.2024,Boulter K.,2,,,,,,6,3,60%,68% (40/59),55% (22/40),50% (3/6),41% (23/56),57% (20/35),40% (6/15),63% (62/99),47% (43/91),55% (105/190),5,0,79% (11/14),43% (6/14),61% (17/28),"['2', '1', '4', '1']","['1', '0', '2', '1']","['1', '0', '3', '0']",[],[],1.46
02.11.2024,Yuan Y.,1,,,,,,3,4,62%,59% (33/56),43% (15/35),60% (9/15),32% (19/59),45% (18/40),50% (3/6),53% (48/91),37% (37/99),45% (85/190),5,0,57% (8/14),21% (3/14),39% (11/28),[],"['1', '1', '3', '3', '7', '5']",[],[],[],2.78
01.11.2024,Yuan Y.,2,,,,,,8,0,57%,87% (26/30),57% (13/23),100% (4/4),33% (14/43),55% (11/20),33% (3/9),74% (39/53),40% (25/63),55% (64/116),8,0,100% (9/9),33% (3/9),67% (12/18),"['3', '1']","['4', '3', '6', '3']",[],[],[],2.51
01.11.2024,Kenin S.,0,,,,,,1,4,68%,67% (29/43),45% (9/20),67% (6/9),13% (4/30),43% (10/23),0% (0/4),60% (38/63),26% (14/53),45% (52/116),2,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.54
30.10.2024,Yuan Y.,2,,,,,,2,3,69%,61% (41/67),33% (10/30),60% (9/15),49% (41/84),60% (15/25),44% (8/18),53% (51/97),51% (56/109),52% (107/206),6,0,60% (9/15),53% (8/15),57% (17/30),"['4', '4']","['2', '2', '3', '3', '5', '5', '7', '5']","['2', '0', '4', '0', '6', '2']",[],[],1.29
30.10.2024,Hibino N.,1,,,,,,3,5,77%,51% (43/84),40% (10/25),56% (10/18),39% (26/67),67% (20/30),40% (6/15),49% (53/109),47% (46/97),48% (99/206),4,2,47% (7/15),40% (6/15),43% (13/30),"['1', '0', '5', '4']","['1', '0', '3', '2', '4', '3']","['2', '5']",[],[],3.74
28.10.2024,Yuan Y.,2,,,,,,0,0,69%,73% (27/37),53% (9/17),50% (1/2),42% (16/38),54% (13/24),36% (4/11),67% (36/54),47% (29/62),56% (65/116),8,0,89% (8/9),44% (4/9),67% (12/18),"['3', '1']","['2', '3', '4', '3', '6', '3']",[],[],[],1.77
28.10.2024,Halep S.,0,,,,,,2,1,61%,58% (22/38),46% (11/24),64% (7/11),27% (10/37),47% (8/17),50% (1/2),53% (33/62),33% (18/54),44% (51/116),2,1,56% (5/9),11% (1/9),33% (6/18),[],"['2', '0']",[],[],[],2.05
24.10.2024,Sawangkaew M.,2,,,,,,4,1,68%,68% (19/28),46% (6/13),0% (0/3),64% (23/36),65% (11/17),70% (7/10),61% (25/41),64% (34/53),63% (59/94),8,0,63% (5/8),78% (7/9),71% (12/17),"['2', '1', '4', '1', '5', '2']","['1', '0', '2', '1', '4', '1', '6', '3']",[],[],[],3.48
24.10.2024,Yuan Y.,0,,,,,,0,1,68%,36% (13/36),35% (6/17),30% (3/10),32% (9/28),54% (7/13),100% (3/3),36% (19/53),39% (16/41),37% (35/94),2,0,22% (2/9),38% (3/8),29% (5/17),"['2', '4']","['1', '1', '2', '4']",[],[],[],1.31
