Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Antofagasta (Chile),clay,header
20.06.2023,Travaglia S.,1,6,0,,,,1,2,38%,67% (6/9),53% (8/15),50% (1/2),63% (10/16),57% (4/7),75% (3/4),6,57% (13/23),61% (14/23),59% (27/46),6,75% (3/4),75% (3/4),75% (6/8),"['1', '2', '3', '2', '5', '2']",[],[],[],[],1.83
CHALLENGER MEN - SINGLES :  Perugia (Italy),clay,header
19.06.2023,Lavagno E.,0,2,3,,,,2,1,69%,56% (20/36),44% (7/16),56% (5/9),32% (13/41),31% (4/13),50% (1/2),6,52% (27/52),31% (17/54),42% (44/106),2,50% (4/8),11% (1/9),29% (5/17),[],"['3', '4']",[],[],[],4.15
19.06.2023,Marozsan F.,2,6,6,,,,2,0,76%,68% (28/41),69% (9/13),50% (1/2),44% (16/36),56% (9/16),44% (4/9),6,69% (37/54),48% (25/52),58% (62/106),3,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '6', '2']","['3', '1', '5', '3']",[],[],[],1.22
17.06.2023,Lavagno E.,2,4,6,6,,,7,3,78%,73% (52/71),40% (8/20),67% (4/6),33% (18/55),58% (14/24),67% (4/6),10,66% (60/91),41% (32/79),54% (92/170),5,86% (12/14),31% (4/13),59% (16/27),"['3', '5']","['5', '3']","['2', '1', '4', '1']",[],[],3.22
17.06.2023,Muller A.,1,6,3,2,,,4,1,70%,67% (37/55),42% (10/24),33% (2/6),27% (19/71),60% (12/20),33% (2/6),6,59% (47/79),34% (31/91),46% (78/170),4,69% (9/13),14% (2/14),41% (11/27),"['3', '2', '5', '2']",[],[],[],[],1.33
16.06.2023,Lavagno E.,2,6,6,,,,4,2,64%,75% (21/28),56% (9/16),0% (0/2),47% (15/32),67% (12/18),71% (5/7),8,68% (30/44),54% (27/50),61% (57/94),4,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '6', '2']","['1', '1', '2', '2', '4', '2']",[],[],[],2.15
16.06.2023,Brancaccio R.,0,2,3,,,,0,4,64%,53% (17/32),33% (6/18),29% (2/7),25% (7/28),44% (7/16),100% (2/2),4,46% (23/50),32% (14/44),39% (37/94),1,38% (3/8),22% (2/9),29% (5/17),[],"['1', '0', '2', '1']",[],[],[],1.68
14.06.2023,Lavagno E.,2,6^2,7,7,,,2,5,76%,66% (65/99),45% (14/31),71% (10/14),31% (25/80),64% (29/45),38% (6/16),6,61% (79/130),43% (54/125),52% (133/255),6,78% (14/18),33% (6/18),56% (20/36),"['5', '4']","['2', '0', '5', '5', '7', '5']","['2', '0', '7', '5']",[],[],1.59
14.06.2023,Roca Batalla O.,1,7^7,5,5,,,7,1,64%,69% (55/80),36% (16/45),63% (10/16),34% (34/99),55% (17/31),29% (4/14),7,57% (71/125),39% (51/130),48% (122/255),4,67% (12/18),22% (4/18),44% (16/36),"['5', '5']","['3', '4', '5', '4']","['4', '5']",[],[],2.27
13.06.2023,Lavagno E.,2,6,7^7,,,,1,2,81%,86% (44/51),58% (7/12),100% (1/1),29% (13/45),36% (8/22),33% (1/3),5,81% (51/63),31% (21/67),55% (72/130),3,100% (11/11),10% (1/10),57% (12/21),"['5', '3']",[],[],[],[],1.63
13.06.2023,Weis A.,0,3,6^4,,,,4,0,67%,71% (32/45),64% (14/22),67% (2/3),14% (7/51),42% (5/12),0% (0/1),4,69% (46/67),19% (12/63),45% (58/130),1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.20
CHALLENGER MEN - SINGLES :  Prostejov (Czech Republic),clay,header
06.06.2023,Lavagno E.,0,3,3,,,,0,3,66%,50% (20/40),57% (12/21),43% (3/7),29% (10/34),33% (6/18),20% (1/5),5,52% (32/61),31% (16/52),42% (48/113),1,56% (5/9),11% (1/9),33% (6/18),"['2', '2']",[],[],[],[],2.20
06.06.2023,Comesana F.,2,6,6,,,,1,0,65%,71% (24/34),67% (12/18),80% (4/5),50% (20/40),43% (9/21),57% (4/7),6,69% (36/52),48% (29/61),58% (65/113),3,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '3', '2', '6', '3']","['3', '1']",[],[],[],1.63
CHALLENGER MEN - SINGLES :  Prostejov (Czech Republic) - Qualification,clay,header
05.06.2023,Lavagno E.,2,7,6,,,,1,0,77%,73% (32/44),54% (7/13),0% (0/2),23% (7/30),67% (18/27),57% (4/7),11,68% (39/57),44% (25/57),56% (64/114),4,82% (9/11),40% (4/10),62% (13/21),"['5', '5', '7', '5']","['1', '1', '4', '2']",[],[],[],1.64
05.06.2023,Martin Tiffon P.,0,5,3,,,,2,6,53%,77% (23/30),33% (9/27),43% (3/7),27% (12/44),46% (6/13),100% (2/2),7,56% (32/57),32% (18/57),44% (50/114),3,60% (6/10),18% (2/11),38% (8/21),"['2', '1']","['1', '0']",[],[],[],2.18
04.06.2023,Lavagno E.,2,6,6,,,,3,0,68%,81% (21/26),42% (5/12),0% (0/1),61% (14/23),68% (19/28),46% (6/13),7,68% (26/38),65% (33/51),66% (59/89),7,86% (6/7),86% (6/7),86% (12/14),"['2', '0', '4', '0', '6', '0']","['3', '1', '4', '2', '6', '2']",[],[],[],1.02
04.06.2023,Pospisil J.,0,0,2,,,,0,4,45%,39% (9/23),32% (9/28),54% (7/13),19% (5/26),58% (7/12),100% (1/1),4,35% (18/51),32% (12/38),34% (30/89),1,14% (1/7),14% (1/7),14% (2/14),[],"['2', '3']",[],[],[],11.00
CHALLENGER MEN - SINGLES :  Vicenza (Italy) - Qualification,clay,header
29.05.2023,Lavagno E.,1,6,1,5,,,1,4,72%,49% (26/53),48% (10/21),30% (3/10),38% (21/56),68% (21/31),46% (6/13),12,49% (36/74),48% (42/87),48% (78/161),7,46% (6/13),46% (6/13),46% (12/26),"['1', '1', '3', '1', '5', '1']","['1', '0']","['3', '1', '5', '3']",[],[],1.83
29.05.2023,Burruchaga R. A.,2,1,6,7,,,3,1,64%,63% (35/56),32% (10/31),54% (7/13),51% (27/53),52% (11/21),70% (7/10),11,52% (45/87),51% (38/74),52% (83/161),6,54% (7/13),54% (7/13),54% (14/26),"['1', '0']","['1', '1', '3', '1', '5', '1']","['3', '4', '4', '5', '6', '5']",[],[],1.90
28.05.2023,Lavagno E.,2,6,3,6,,,1,2,65%,63% (32/51),52% (14/27),57% (4/7),50% (28/56),53% (17/32),35% (6/17),5,59% (46/78),51% (45/88),55% (91/166),7,75% (9/12),50% (6/12),63% (15/24),"['1', '0', '3', '0', '5', '0']","['1', '0']","['2', '0', '4', '2']",[],[],1.50
28.05.2023,Oradini G.,1,0,6,3,,,3,1,64%,50% (28/56),47% (15/32),65% (11/17),37% (19/51),48% (13/27),43% (3/7),9,49% (43/88),41% (32/78),45% (75/166),4,50% (6/12),25% (3/12),38% (9/24),[],"['1', '1', '3', '1']","['2', '3']",[],[],2.49
CHALLENGER MEN - SINGLES :  Turin 2 (Italy),clay,header
18.05.2023,Lavagno E.,0,3,1,,,,0,1,72%,39% (16/41),63% (10/16),38% (3/8),24% (7/29),41% (7/17),100% (1/1),6,46% (26/57),30% (14/46),39% (40/103),2,38% (3/8),13% (1/8),25% (4/16),"['3', '5']",[],[],[],[],3.34
18.05.2023,Koepfer D.,2,6,6,,,,1,0,63%,76% (22/29),59% (10/17),0% (0/1),61% (25/41),38% (6/16),63% (5/8),7,70% (32/46),54% (31/57),61% (63/103),4,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '6', '3']","['2', '0', '5', '1']",[],[],[],1.31
17.05.2023,Lavagno E.,2,6,6,,,,3,2,72%,64% (28/44),53% (9/17),67% (4/6),48% (15/31),71% (10/14),50% (5/10),7,61% (37/61),56% (25/45),58% (62/106),5,78% (7/9),63% (5/8),71% (12/17),"['2', '2', '3', '3', '6', '4']","['3', '1', '5', '1']",[],[],[],2.06
17.05.2023,Caruso S.,0,4,1,,,,0,2,69%,52% (16/31),29% (4/14),50% (5/10),36% (16/44),47% (8/17),33% (2/6),5,44% (20/45),39% (24/61),42% (44/106),2,38% (3/8),22% (2/9),29% (5/17),"['1', '0', '3', '2']",[],[],[],[],1.70
15.05.2023,Lavagno E.,2,7,6,,,,3,3,67%,70% (32/46),61% (14/23),83% (5/6),36% (19/53),59% (17/29),23% (3/13),6,67% (46/69),44% (36/82),54% (82/151),3,91% (10/11),30% (3/10),62% (13/21),"['2', '2', '7', '5']","['5', '3']",[],[],[],2.78
15.05.2023,Darderi L.,0,5,3,,,,2,2,65%,64% (34/53),41% (12/29),77% (10/13),30% (14/46),39% (9/23),17% (1/6),5,56% (46/82),33% (23/69),46% (69/151),2,70% (7/10),9% (1/11),38% (8/21),"['2', '1']",[],[],[],[],1.41
CHALLENGER MEN - SINGLES :  Francavilla (Italy),clay,header
11.05.2023,Lavagno E.,0,4,3,,,,2,2,70%,55% (31/56),38% (9/24),50% (4/8),28% (10/36),43% (6/14),100% (1/1),4,50% (40/80),32% (16/50),43% (56/130),3,60% (6/10),11% (1/9),37% (7/19),[],"['2', '4']",[],[],[],2.20
11.05.2023,Ionel N. D.,2,6,6,,,,0,1,72%,72% (26/36),57% (8/14),0% (0/1),45% (25/56),63% (15/24),50% (4/8),13,68% (34/50),50% (40/80),57% (74/130),5,89% (8/9),40% (4/10),63% (12/19),"['2', '1']","['1', '0', '3', '0', '6', '3']",[],[],[],1.63
09.05.2023,Lavagno E.,2,6,6,,,,0,3,65%,67% (24/36),47% (9/19),78% (7/9),52% (14/27),67% (16/24),46% (6/13),12,60% (33/55),59% (30/51),59% (63/106),6,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '3', '0', '5', '0']","['1', '2', '3', '2', '5', '4']",[],[],[],3.72
09.05.2023,De Jong J.,0,0,4,,,,0,2,53%,48% (13/27),33% (8/24),54% (7/13),33% (12/36),53% (10/19),22% (2/9),5,41% (21/51),40% (22/55),41% (43/106),2,25% (2/8),25% (2/8),25% (4/16),[],"['2', '0', '3', '3']",[],[],[],1.25
CHALLENGER MEN - SINGLES :  Francavilla (Italy) - Qualification,clay,header
08.05.2023,Lavagno E.,2,6,7^7,,,,3,2,63%,72% (28/39),61% (14/23),50% (2/4),43% (19/44),52% (14/27),60% (3/5),7,68% (42/62),46% (33/71),56% (75/133),4,82% (9/11),30% (3/10),57% (12/21),"['2', '0']","['1', '2', '3', '2']",[],[],[],1.19
08.05.2023,Peliwo F.,0,3,6^5,,,,1,1,62%,57% (25/44),48% (13/27),40% (2/5),28% (11/39),39% (9/23),50% (2/4),8,54% (38/71),32% (20/62),44% (58/133),3,70% (7/10),18% (2/11),43% (9/21),[],"['2', '0', '4', '4']",[],[],[],4.44
07.05.2023,Lavagno E.,2,6,7^7,,,,0,7,62%,64% (29/45),46% (13/28),63% (5/8),43% (19/44),56% (15/27),57% (4/7),8,58% (42/73),48% (34/71),53% (76/144),4,73% (8/11),36% (4/11),55% (12/22),"['5', '3', '6', '4']","['2', '0', '5', '5']",[],[],[],1.05
07.05.2023,Sciahbasi L.,0,4,6^5,,,,2,3,62%,57% (25/44),44% (12/27),43% (3/7),36% (16/45),54% (15/28),38% (3/8),6,52% (37/71),42% (31/73),47% (68/144),5,64% (7/11),27% (3/11),45% (10/22),"['4', '5']","['2', '3', '4', '3']",[],[],[],8.40
CHALLENGER MEN - SINGLES :  Roseto Degli Abruzzi (Italy),clay,header
19.04.2023,Lavagno E.,0,5,4,,,,4,4,64%,63% (24/38),43% (9/21),33% (2/6),31% (14/45),61% (23/38),25% (3/12),5,56% (33/59),45% (37/83),49% (70/142),2,60% (6/10),30% (3/10),45% (9/20),"['3', '1', '5', '5']","['2', '2']",[],[],[],2.01
19.04.2023,Ionel N. D.,1,7,4,,,,3,7,54%,69% (31/45),39% (15/38),75% (9/12),37% (14/38),57% (12/21),67% (4/6),5,55% (46/83),44% (26/59),51% (72/142),2,70% (7/10),40% (4/10),55% (11/20),"['2', '3', '5', '4', '6', '5']","['2', '1']",[],[],[],1.74
CHALLENGER MEN - SINGLES :  Roseto Degli Abruzzi (Italy) - Qualification,clay,header
18.04.2023,Lavagno E.,2,6,4,6,,,2,2,59%,72% (34/47),45% (15/33),0% (0/2),33% (15/45),65% (22/34),56% (5/9),5,61% (49/80),47% (37/79),54% (86/159),5,85% (11/13),42% (5/12),64% (16/25),"['3', '1', '6', '2']","['4', '4']","['3', '1', '5', '1']",[],[],1.70
18.04.2023,Arnaboldi F.,1,2,6,1,,,2,3,57%,67% (30/45),35% (12/34),44% (4/9),28% (13/47),55% (18/33),100% (2/2),7,53% (42/79),39% (31/80),46% (73/159),2,58% (7/12),15% (2/13),36% (9/25),[],"['4', '3', '5', '4']",[],[],[],2.06
16.04.2023,Lavagno E.,2,6,5,6,,,2,9,69%,67% (52/78),31% (11/35),63% (10/16),42% (24/57),51% (22/43),37% (7/19),7,56% (63/113),46% (46/100),51% (109/213),3,63% (10/16),47% (7/15),55% (17/31),"['3', '1', '4', '2', '6', '4']","['2', '2']","['1', '1', '2', '2', '5', '3']",[],[],1.01
16.04.2023,Noce G. M.,1,4,7,3,,,5,4,57%,58% (33/57),49% (21/43),63% (12/19),33% (26/78),69% (24/35),38% (6/16),6,54% (54/100),44% (50/113),49% (104/213),4,53% (8/15),38% (6/16),45% (14/31),"['2', '3', '4', '5']","['1', '0', '6', '5']","['1', '0', '2', '1']",[],[],16.00
CHALLENGER MEN - SINGLES :  Barletta (Italy),clay,header
04.04.2023,Lavagno E.,1,6,1,3,,,2,1,72%,56% (28/50),42% (8/19),33% (3/9),37% (14/38),52% (22/42),50% (4/8),11,52% (36/69),45% (36/80),48% (72/149),6,50% (6/12),31% (4/13),40% (10/25),"['2', '3', '4', '3', '6', '3']",[],"['3', '4']",[],[],3.28
04.04.2023,Piros Z.,2,3,6,6,,,2,4,48%,63% (24/38),48% (20/42),50% (4/8),44% (22/50),58% (11/19),67% (6/9),6,55% (44/80),48% (33/69),52% (77/149),7,69% (9/13),50% (6/12),60% (15/25),"['3', '1']","['2', '1', '4', '1', '6', '1']","['3', '1', '5', '3']",[],[],1.31
CHALLENGER MEN - SINGLES :  Barletta (Italy) - Qualification,clay,header
03.04.2023,Lavagno E.,2,6,7^7,,,,0,1,73%,61% (36/59),59% (13/22),70% (7/10),37% (15/41),58% (15/26),50% (4/8),6,60% (49/81),45% (30/67),53% (79/148),5,73% (8/11),40% (4/10),57% (12/21),"['2', '2', '5', '3']","['1', '0', '3', '2']",[],[],[],1.45
03.04.2023,Paul J.,0,3,6^4,,,,0,2,61%,63% (26/41),42% (11/26),50% (4/8),39% (23/59),41% (9/22),30% (3/10),6,55% (37/67),40% (32/81),47% (69/148),3,60% (6/10),27% (3/11),43% (9/21),"['1', '0']","['2', '2', '5', '5']",[],[],[],2.64
02.04.2023,Lavagno E.,2,6,7^7,,,,1,1,65%,55% (28/51),63% (17/27),73% (8/11),36% (15/42),80% (16/20),63% (5/8),6,58% (45/78),50% (31/62),54% (76/140),3,70% (7/10),50% (5/10),60% (12/20),"['1', '0', '3', '0', '4', '1', '5', '2']","['2', '3']",[],[],[],1.02
02.04.2023,Massacri B.,0,2,6^4,,,,4,7,68%,64% (27/42),20% (4/20),38% (3/8),45% (23/51),37% (10/27),27% (3/11),5,50% (31/62),42% (33/78),46% (64/140),2,50% (5/10),30% (3/10),40% (8/20),"['1', '3', '2', '4']","['3', '1']",[],[],[],12.00
CHALLENGER MEN - SINGLES :  Sanremo (Italy),clay,header
30.03.2023,Lavagno E.,0,5,6^5,,,,0,2,69%,59% (33/56),52% (13/25),50% (4/8),33% (14/43),41% (16/39),38% (3/8),5,57% (46/81),37% (30/82),47% (76/163),2,67% (8/12),25% (3/12),46% (11/24),"['5', '5']","['2', '0', '3', '3']",[],[],[],3.02
30.03.2023,Vavassori A.,2,7,7^7,,,,4,6,52%,67% (29/43),56% (22/39),63% (5/8),41% (23/56),48% (12/25),50% (4/8),7,63% (52/82),43% (35/81),53% (87/163),3,75% (9/12),33% (4/12),54% (13/24),"['5', '4', '6', '5']","['1', '2', '3', '2']",[],[],[],1.36
28.03.2023,Lavagno E.,2,6,6,,,,0,2,72%,57% (26/46),61% (11/18),70% (7/10),59% (22/37),67% (8/12),60% (6/10),13,58% (37/64),61% (30/49),59% (67/113),4,67% (6/9),67% (6/9),67% (12/18),"['2', '2', '3', '3', '5', '3']","['2', '1', '4', '3', '6', '3']",[],[],[],1.61
28.03.2023,Vacherot V.,0,3,3,,,,2,2,76%,41% (15/37),33% (4/12),40% (4/10),43% (20/46),39% (7/18),30% (3/10),4,39% (19/49),42% (27/64),41% (46/113),2,33% (3/9),33% (3/9),33% (6/18),"['2', '1', '3', '2']","['2', '2']",[],[],[],2.24
CHALLENGER MEN - SINGLES :  Sanremo (Italy) - Qualification,clay,header
27.03.2023,Lavagno E.,2,6,6,,,,4,1,65%,61% (27/44),46% (11/24),67% (4/6),55% (21/38),70% (16/23),43% (6/14),9,56% (38/68),61% (37/61),58% (75/129),6,75% (6/8),86% (6/7),80% (12/15),"['2', '0', '4', '2', '6', '2']","['1', '1', '3', '1', '5', '1']",[],[],[],1.92
27.03.2023,Vatutin A.,0,2,1,,,,0,5,62%,45% (17/38),30% (7/23),57% (8/14),39% (17/44),54% (13/24),33% (2/6),4,39% (24/61),44% (30/68),42% (54/129),2,14% (1/7),25% (2/8),20% (3/15),"['1', '2']","['1', '0']",[],[],[],1.81
26.03.2023,Lavagno E.,2,6,6,,,,0,0,68%,68% (19/28),62% (8/13),75% (3/4),65% (13/20),72% (18/25),55% (6/11),9,66% (27/41),69% (31/45),67% (58/86),7,86% (6/7),86% (6/7),86% (12/14),"['2', '0', '4', '0', '6', '0']","['3', '1', '5', '1', '6', '2']",[],[],[],1.67
26.03.2023,Tabacco G.,0,0,2,,,,0,2,44%,35% (7/20),28% (7/25),45% (5/11),32% (9/28),38% (5/13),25% (1/4),5,31% (14/45),34% (14/41),33% (28/86),1,14% (1/7),14% (1/7),14% (2/14),[],"['2', '5']",[],[],[],2.13
ITF MEN - SINGLES :  M15 Antalya 7 (Turkey),clay,header
CHALLENGER MEN - SINGLES :  Antalya (Turkey) - Qualification,clay,header
06.03.2023,Lavagno E.,0,3,0,,,,0,4,76%,55% (17/31),20% (2/10),63% (5/8),25% (5/20),40% (2/5),100% (1/1),4,46% (19/41),28% (7/25),39% (26/66),1,40% (2/5),20% (1/5),30% (3/10),"['3', '5']",[],[],[],[],2.49
06.03.2023,Caruso S.,1,6,1,,,,3,1,80%,75% (15/20),60% (3/5),0% (0/1),45% (14/31),80% (8/10),38% (3/8),6,72% (18/25),54% (22/41),61% (40/66),2,80% (4/5),60% (3/5),70% (7/10),"['1', '0', '5', '2', '6', '3']",[],[],[],[],1.50
05.03.2023,Lavagno E.,2,7^7,6,,,,0,1,71%,73% (32/44),44% (8/18),33% (1/3),42% (15/36),52% (16/31),67% (4/6),8,66% (40/61),46% (31/67),55% (71/128),4,80% (8/10),40% (4/10),60% (12/20),"['2', '0']","['2', '1', '4', '1', '5', '2']",[],[],[],1.44
05.03.2023,Ajdukovic D.,0,6^4,2,,,,1,7,54%,58% (21/36),48% (15/31),33% (2/6),27% (12/44),56% (10/18),67% (2/3),8,54% (36/67),34% (21/61),45% (58/128),2,60% (6/10),20% (2/10),40% (8/20),"['1', '2']","['2', '4']",[],[],[],2.67
ITF MEN - SINGLES :  M15 Antalya 5 (Turkey),clay,header
ITF MEN - SINGLES :  M25 Antalya (Turkey),clay,header
CHALLENGER MEN - SINGLES :  Piracicaba (Brazil),clay,header
18.01.2023,Lavagno E.,1,4,6,6^5,,,5,8,64%,70% (57/81),47% (21/45),82% (14/17),37% (40/107),35% (7/20),27% (3/11),6,62% (78/126),37% (47/127),49% (125/253),2,81% (13/16),19% (3/16),50% (16/32),[],"['5', '3', '6', '4']","['2', '2']",[],[],1.84
18.01.2023,Casanova H.,2,6,4,7^7,,,3,1,84%,63% (67/107),65% (13/20),73% (8/11),30% (24/81),53% (24/45),18% (3/17),5,63% (80/127),38% (48/126),51% (128/253),3,81% (13/16),19% (3/16),50% (16/32),"['2', '1']","['4', '5']","['2', '1']",[],[],1.89
17.01.2023,Lavagno E.,2,6,6,,,,3,2,65%,67% (26/39),57% (12/21),75% (3/4),48% (10/21),64% (16/25),56% (5/9),6,63% (38/60),57% (26/46),60% (64/106),4,88% (7/8),63% (5/8),75% (12/16),"['2', '2', '4', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.73
17.01.2023,Dutra Da Silva D.,0,3,1,,,,2,5,46%,52% (11/21),36% (9/25),44% (4/9),33% (13/39),43% (9/21),25% (1/4),5,43% (20/46),37% (22/60),40% (42/106),2,38% (3/8),13% (1/8),25% (4/16),"['2', '1']",[],[],[],[],2.03
CHALLENGER MEN - SINGLES :  Piracicaba (Brazil) - Qualification,clay,header
16.01.2023,Lavagno E.,2,6,6,,,,5,2,70%,64% (36/56),58% (14/24),80% (4/5),37% (13/35),50% (13/26),50% (3/6),6,63% (50/80),43% (26/61),54% (76/141),4,90% (9/10),30% (3/10),60% (12/20),"['2', '1', '4', '1']","['3', '2']",[],[],[],1.65
16.01.2023,Villanueva G.,0,4,4,,,,2,2,57%,63% (22/35),50% (13/26),50% (3/6),36% (20/56),42% (10/24),20% (1/5),6,57% (35/61),38% (30/80),46% (65/141),2,70% (7/10),10% (1/10),40% (8/20),"['2', '4']",[],[],[],[],2.17
15.01.2023,Lavagno E.,2,3,6,6,,,1,5,63%,65% (46/71),49% (20/41),71% (10/14),40% (21/52),47% (15/32),56% (5/9),8,59% (66/112),43% (36/84),52% (102/196),4,71% (10/14),36% (5/14),54% (15/28),"['1', '2']","['1', '1', '6', '4']","['1', '1', '3', '1']",[],[],1.38
15.01.2023,Zormann Da Silva M.,1,6,4,3,,,3,3,62%,60% (31/52),53% (17/32),44% (4/9),35% (25/71),51% (21/41),29% (4/14),6,57% (48/84),41% (46/112),48% (94/196),4,64% (9/14),29% (4/14),46% (13/28),"['2', '0', '5', '3']","['1', '0']","['1', '0']",[],[],2.91
CHALLENGER MEN - SINGLES :  Tigre 2 (Argentina),clay,header
12.01.2023,Lavagno E.,1,5,6,2,,,0,0,64%,52% (32/61),37% (13/35),58% (11/19),36% (29/81),70% (32/46),38% (6/16),8,47% (45/96),48% (61/127),48% (106/223),5,47% (7/15),40% (6/15),43% (13/30),"['1', '3', '3', '3', '5', '3']","['2', '0', '4', '0', '6', '4']",[],[],[],7.10
12.01.2023,Cerundolo J. M.,2,7,4,6,,,3,5,64%,64% (52/81),30% (14/46),63% (10/16),48% (29/61),63% (22/35),42% (8/19),5,52% (66/127),53% (51/96),52% (117/223),4,60% (9/15),53% (8/15),57% (17/30),"['1', '0', '3', '0', '4', '5', '6', '5']","['1', '4', '3', '4']","['1', '0', '3', '0']",[],[],1.08
10.01.2023,Lavagno E.,2,6,6,,,,3,4,74%,78% (29/37),31% (4/13),80% (4/5),42% (15/36),76% (13/17),56% (5/9),6,66% (33/50),53% (28/53),59% (61/103),4,88% (7/8),63% (5/8),75% (12/16),"['4', '2']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.57
10.01.2023,Chung Y.,0,3,1,,,,0,3,68%,58% (21/36),24% (4/17),44% (4/9),22% (8/37),69% (9/13),20% (1/5),4,47% (25/53),34% (17/50),41% (42/103),1,38% (3/8),13% (1/8),25% (4/16),[],"['1', '3']",[],[],[],2.32
CHALLENGER MEN - SINGLES :  Tigre 2 (Argentina) - Qualification,clay,header
09.01.2023,Lavagno E.,2,6,6,,,,1,2,74%,63% (30/48),29% (5/17),20% (1/5),44% (17/39),88% (15/17),64% (7/11),5,54% (35/65),57% (32/56),55% (67/121),3,56% (5/9),78% (7/9),67% (12/18),"['2', '0', '4', '2', '5', '3']","['1', '0', '2', '1', '4', '1', '6', '3']",[],[],[],1.85
09.01.2023,Midon L.,0,3,3,,,,2,3,70%,56% (22/39),12% (2/17),36% (4/11),38% (18/48),71% (12/17),80% (4/5),7,43% (24/56),46% (30/65),45% (54/121),2,22% (2/9),44% (4/9),33% (6/18),"['2', '3', '3', '4']","['1', '1', '2', '4']",[],[],[],1.88
08.01.2023,Lavagno E.,2,4,6,6,,,1,2,66%,67% (36/54),46% (13/28),50% (3/6),53% (24/45),48% (13/27),67% (6/9),9,60% (49/82),51% (37/72),56% (86/154),6,77% (10/13),46% (6/13),62% (16/26),"['2', '0']","['4', '2', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],1.42
08.01.2023,Huertas Del Pino A.,1,6,2,2,,,1,1,63%,47% (21/45),52% (14/27),33% (3/9),33% (18/54),54% (15/28),50% (3/6),6,49% (35/72),40% (33/82),44% (68/154),3,54% (7/13),23% (3/13),38% (10/26),"['1', '2', '5', '4']",[],"['1', '0']",[],[],2.75
CHALLENGER MEN - SINGLES :  Tigre (Argentina),clay,header
03.01.2023,Lavagno E.,0,6^4,4,,,,1,4,64%,65% (32/49),46% (13/28),57% (4/7),24% (10/41),48% (13/27),50% (2/4),7,58% (45/77),34% (23/68),47% (68/145),3,73% (8/11),18% (2/11),45% (10/22),"['5', '5']","['1', '0']",[],[],[],1.54
03.01.2023,Midon L.,2,7^7,6,,,,2,1,60%,76% (31/41),52% (14/27),50% (2/4),35% (17/49),54% (15/28),43% (3/7),7,66% (45/68),42% (32/77),53% (77/145),2,82% (9/11),27% (3/11),55% (12/22),"['1', '0']","['1', '1', '6', '4']",[],[],[],2.39
CHALLENGER MEN - SINGLES :  Maspalomas (Spain),clay,header
29.11.2022,Lavagno E.,1,4,6,1,,,1,3,74%,54% (34/63),59% (13/22),50% (5/10),26% (10/38),47% (15/32),60% (3/5),5,55% (48/87),36% (25/70),46% (73/157),3,62% (8/13),23% (3/13),42% (11/26),"['2', '2', '3', '3']","['4', '2']",[],[],[],2.04
29.11.2022,Echargui M.,2,6,3,6,,,6,2,54%,74% (28/38),53% (17/32),40% (2/5),46% (29/63),41% (9/22),50% (5/10),5,64% (45/70),45% (39/87),54% (84/157),5,77% (10/13),38% (5/13),58% (15/26),"['2', '1', '3', '2', '4', '3']",[],"['3', '1', '5', '1']",[],[],1.71
CHALLENGER MEN - SINGLES :  Valencia (Spain) - Qualification,clay,header
20.11.2022,Lavagno E.,1,7,5,4,,,0,8,64%,53% (43/81),57% (26/46),54% (7/13),28% (16/58),57% (27/47),45% (5/11),9,54% (69/127),41% (43/105),48% (112/232),3,65% (11/17),29% (5/17),47% (16/34),"['4', '4', '7', '5']","['3', '1', '4', '2']","['2', '0']",[],[],3.14
20.11.2022,Lopez San Martin A.,2,5,7,6,,,4,4,55%,72% (42/58),43% (20/47),55% (6/11),47% (38/81),43% (20/46),46% (6/13),6,59% (62/105),46% (58/127),52% (120/232),3,71% (12/17),35% (6/17),53% (18/34),"['4', '3']","['2', '3', '3', '4', '6', '5']","['2', '3', '5', '4']",[],[],1.33
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 11 (Italy),clay,header
19.10.2022,Lavagno E.,0,5,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '5', '5']",[],[],[],[],1.43
19.10.2022,Iannaccone F.,2,7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '2', '4', '3', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],2.69
