Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.04.,Strode I.,2,,,,,,0,7,44%,79% (19/24),50% (15/30),50% (2/4),39% (13/33),63% (22/35),38% (5/13),63% (34/54),51% (35/68),57% (69/122),8,0,78% (7/9),56% (5/9),67% (12/18),"['4', '3', '5', '4']","['1', '0', '3', '0', '5', '2']",[],[],[],1.59
13.04.,Fenty A.,0,,,,,,4,6,49%,61% (20/33),37% (13/35),62% (8/13),21% (5/24),50% (15/30),50% (2/4),49% (33/68),37% (20/54),43% (53/122),2,0,44% (4/9),22% (2/9),33% (6/18),"['4', '4']","['2', '4']",[],[],[],2.27
25.03.,Aguilar J. C. M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.38
25.03.,Fenty A.,0,,,,,,[],[],[],[],[],2.85
21.03.,Dougaz A.,2,,,,,,"['2', '1']","['2', '1', '5', '2']",[],[],[],1.18
21.03.,Fenty A.,0,,,,,,[],[],[],[],[],4.47
20.03.,Fenty A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0']",[],[],[],1.19
20.03.,Collignon K.,0,,,,,,[],[],[],[],[],4.28
19.03.,Fenty A.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.03
19.03.,Nortey I.,0,,,,,,[],[],[],[],[],8.80
